"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","제과점영업","07_22_18_P","4490000","5650000-121-2026-00002","2026-02-13","","01","영업/정상","01","영업","","","","","","134.66","330-891","충청남도 천안시 동남구 성남면 용원리 671","충청남도 천안시 동남구 성남면 종합휴양지로 183, 1~3층","31246","브레드보드","2026-03-02 12:49:44","U","2026-03-04 02:40:00","제과점영업","220031.428880929","361794.719841137","제과점영업","0","0","","","","0","0","0","0","0","","0","0","Y","134.66","","","",
"2","제과점영업","07_22_18_P","3220000","3220000-121-2026-00010","2026-02-19","","03","폐업","02","폐업","2026-02-28","","","","","","135-948","서울특별시 강남구 청담동 4-1 피엔폴루스","서울특별시 강남구 도산대로 442, 피엔폴루스 지하1층 하우스오브신세계 청담 일부호 (청담동)","06062","주식회사 쥬노(한시적)","2026-03-01 04:15:10","U","2026-03-04 02:40:00","제과점영업","203789.588128352","446796.128299612","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","제과점영업","07_22_18_P","3910000","3910000-121-2026-00001","2026-01-27","","03","폐업","02","폐업","2026-02-28","","","","","3.30","450-827","경기도 평택시 평택동 185-579 평택민자역사AK백화점 지하1층 일부호","경기도 평택시 평택로 51, 평택민자역사AK백화점 지하1층 일부호 (평택동)","17917","뺑드슈베이커리","2026-03-01 04:15:09","U","2026-03-04 02:40:00","제과점영업","207577.558056715","387700.245776573","제과점영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","3.3","","","",
"4","제과점영업","07_22_18_P","5710000","5730000-121-2026-00003","2026-01-26","","01","영업/정상","01","영업","","","","","","173.30","361-801","충청북도 청주시 흥덕구 가경동 1416 청주센트럴시티(터미널복합)","충청북도 청주시 흥덕구 2순환로 1225, 청주센트럴시티(터미널복합) 2층 일부호 (가경동)","28396","주식회사 포이드캐롯","2026-03-01 11:02:39","U","2026-03-04 02:40:00","제과점영업","238449.433440246","347396.698510935","제과점영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","173.3","","","",
"5","제과점영업","07_22_18_P","5710000","5730000-121-2026-00004","2026-01-26","","03","폐업","02","폐업","2026-02-28","","","","","","361-270","충청북도 청주시 흥덕구 복대동 3380 현대백화점","충청북도 청주시 흥덕구 직지대로 308, 현대백화점 충청점 지하1층 일부호 (복대동)","28424","보정당앞산","2026-03-01 04:15:11","U","2026-03-04 02:40:00","제과점영업","238047.286714699","349368.880808052","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","제과점영업","07_22_18_P","3740000","3750000-121-2026-00003","2026-01-21","","01","영업/정상","01","영업","","","","","","32.55","440-801","경기도 수원시 장안구 송죽동 393-6","경기도 수원시 장안구 송원로 9-1, 1층 일부호 (송죽동)","16306","파티스리헤브","2026-03-01 10:51:23","U","2026-03-04 02:40:00","제과점영업","200365.434405314","421640.402149837","제과점영업","0","0","주택가주변","","상수도전용","0","0","0","0","0","","0","0","N","32.55","","","",
"7","제과점영업","07_22_18_P","3940000","4100100-121-2026-00003","2026-02-02","","03","폐업","02","폐업","2026-02-28","","","","","","411-766","경기도 고양시 일산서구 대화동 2602 현대백화점 킨텍스점 지하1층 일부호","경기도 고양시 일산서구 호수로 817, 현대백화점 킨텍스점 지하1층 일부호 (대화동)","10391","우리동네마카롱(한시적)","2026-03-01 04:15:09","U","2026-03-04 02:40:00","제과점영업","178006.080301401","462865.812502378","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","제과점영업","07_22_18_P","3330000","3330000-121-2026-00005","2026-02-04","","01","영업/정상","01","영업","","","","","","95.02","612-020","부산광역시 해운대구 우동 1496 롯데백화점센텀시티점","부산광역시 해운대구 센텀남대로 59, 롯데백화점센텀시티점 6층 일부호 (우동)","48058","아델라7 센텀 롯데점","2026-03-02 10:15:03","U","2026-03-04 02:40:00","제과점영업","394083.501537578","187707.586117775","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","95.02","","","",
"9","제과점영업","07_22_18_P","3510500","3510500-121-2026-00002","2026-02-03","","03","폐업","02","폐업","2026-02-28","","","","","","","인천광역시 미추홀구 관교동 15 인천종합터미널,롯데백화점","인천광역시 미추홀구 연남로 35, 롯데백화점 지하 1층 일부호 (관교동)","22242","앙보화","2026-03-01 04:15:09","U","2026-03-04 02:40:00","제과점영업","173499.267314606","437739.32138498","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","제과점영업","07_22_18_P","3180000","3180000-121-2026-00007","2026-02-06","","03","폐업","02","폐업","2026-02-28","","","","","3.30","150-798","서울특별시 영등포구 영등포동4가 442 타임스퀘어","서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)","07305","졸리파이마켓","2026-03-01 04:15:09","U","2026-03-04 02:40:00","제과점영업","191385.057392247","446098.555926507","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","3.3","","","",
"11","제과점영업","07_22_18_P","5530000","5770000-121-2026-00012","2026-02-11","","03","폐업","02","폐업","2026-02-28","","","","","","","경기도 화성시 동탄구 여울동 1089 동탄역 롯데캐슬","경기도 화성시 동탄구 여울동 동탄역로 160, 롯데백화점 동탄점 지하1층 일부호 (여울동)","","츄로츄로","2026-03-01 04:15:09","U","2026-03-04 02:40:00","제과점영업","208569.642431686","410949.263462028","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"12","제과점영업","07_22_18_P","3410000","3410000-121-2026-00002","2026-02-02","","03","폐업","02","폐업","2026-02-28","","","","","","700-082","대구광역시 중구 계산동2가 0200 현대백화점 지하1층","대구광역시 중구 달구벌대로 2077, 현대백화점 지하1층 (계산동2가)","41936","네쥬","2026-03-01 04:15:10","U","2026-03-04 02:40:00","제과점영업","343588.735554802","264119.010750105","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"13","제과점영업","07_22_18_P","3230000","3230000-121-2026-00012","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","","138-721","서울특별시 송파구 잠실동 40-1 롯데월드","서울특별시 송파구 올림픽로 240, 롯데백화점 잠실점 2층 (잠실동)","05554","올데이스테이","2026-03-01 04:15:09","U","2026-03-04 02:40:00","제과점영업","208589.363343145","445455.90405262","제과점영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
