"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","일반음식점","07_24_04_P","5450000","5450000-101-2026-00006","2026-02-26","","03","폐업","02","폐업","2026-02-28","","","","","0.00","666-931","경상남도 산청군 시천면 천평리 440","경상남도 산청군 시천면 송하중태길 6","52240","통나무집","2026-03-01 04:15:09","U","2026-03-03 02:40:00","한식","276040.728376772","197545.643287447","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","일반음식점","07_24_04_P","4810000","4810000-101-2026-00048","2026-03-03","","01","영업/정상","01","영업","","","","","","81.33","555-070","전라남도 여수시 웅천동 1712-4","전라남도 여수시 웅천중앙로 103, 1층 (웅천동)","59692","코하 koha","2026-03-01 09:48:34","I","2026-03-04 00:20:37","기타","261968.240322285","138932.28338843","기타","0","0","","","","0","0","0","0","0","","0","0","N","81.33","","","",
"3","일반음식점","07_24_04_P","4810000","4810000-101-2026-00049","2026-03-03","","01","영업/정상","01","영업","","","","","","40.25","555-070","전라남도 여수시 웅천동 1696-4","전라남도 여수시 예울마루로 37-33, 105호 (웅천동)","59691","간바레니카상 여수분점 전통 삿포로식 양고기 전문점","2026-03-01 09:53:58","I","2026-03-04 00:20:37","일식","261325.244736846","138844.799625185","일식","0","0","","","","0","0","0","0","0","","0","0","N","40.25","","","",
"4","일반음식점","07_24_04_P","3420000","3420000-101-2026-00054","2026-02-27","","01","영업/정상","01","영업","","","","","","10.00","701-020","대구광역시 동구 신천동 1506 신세계동대구복합환승센터","대구광역시 동구 동부로 149, 신세계동대구복합환승센터 8층 (신천동)","41229","에브리띵(everything)","2026-02-27 16:13:00","I","2026-03-04 00:20:37","기타","347037.241970286","265407.404336831","기타","0","0","","","","0","0","0","0","0","","0","0","N","10","","","",
"5","일반음식점","07_24_04_P","5470000","5470000-101-2006-00051","2006-11-02","","01","영업/정상","01","영업","","","","","055 9447448","47.15","670-807","경상남도 거창군 거창읍 상림리 838","경상남도 거창군 거창읍 공수들4길 37","50131","도희네집분식","2026-03-02 11:06:10","U","2026-03-04 02:40:00","분식","281622.088979451","243470.07539358","분식","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","47.15","","","",
"6","일반음식점","07_24_04_P","5540000","5540000-101-2019-00014","2019-01-24","","01","영업/정상","01","영업","","","","","","115.38","464-816","경기도 광주시 남한산성면 산성리 689 1층","경기도 광주시 남한산성면 남한산성로780번길 45, 1층","12700","카페작은숲","2026-03-01 09:34:33","U","2026-03-04 02:40:00","기타","216040.695376067","442149.947161122","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","115.38","","","",
"7","일반음식점","07_24_04_P","3420000","3420000-101-2006-00216","2006-10-19","","03","폐업","02","폐업","2026-02-27","","","","053 9580690","74.40","701-816","대구광역시 동구 신암동 326-13","대구광역시 동구 신암남로27길 67 (신암동)","41224","크루아쿤리","2026-02-27 17:30:46","U","2026-03-04 02:40:00","한식","347138.990951829","266106.961686672","한식","0","2","주택가주변","자율","상수도전용","0","0","0","0","0","","0","0","N","74.4","","","",
"8","일반음식점","07_24_04_P","3420000","3420000-101-2007-00056","2007-03-13","","01","영업/정상","01","영업","","","","","","61.65","701-840","대구광역시 동구 효목동 140-27","대구광역시 동구 아양로50길 119-1 (효목동)","41172","미진손칼국수","2026-02-27 09:32:44","U","2026-03-04 02:40:00","한식","348275.996877993","265944.8332317","한식","0","0","기타","자율","상수도전용","0","0","0","0","0","","0","0","N","61.65","","","",
"9","일반음식점","07_24_04_P","5130000","5130000-101-2010-00132","2010-06-25","","01","영업/정상","01","영업","","","","","053 854 7227","989.57","712-833","경상북도 경산시 진량읍 부기리 109","경상북도 경산시 진량읍 대학로 1367","38441","비발디","2026-03-01 10:48:37","U","2026-03-04 02:40:00","식육(숯불구이)","364592.102785448","268282.152140993","식육(숯불구이)","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","989.57","","","",
"10","일반음식점","07_24_04_P","3730000","3730000-101-1994-00150","1994-12-30","","03","폐업","02","폐업","2026-02-24","","","","052 2631804","49.09","689-833","울산광역시 울주군 두서면 인보리 481-31","울산광역시 울주군 두서면 인보로 98","44912","맛동네","2026-03-01 09:34:23","U","2026-03-04 02:40:00","한식","395518.54850272","240336.726154998","한식","0","1","기타","자율","상수도전용","0","0","0","0","0","","0","0","N","49.09","","","",
