"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","휴게음식점","07_24_05_P","3420000","3420000-104-2026-00044","2026-02-27","","01","영업/정상","01","영업","","","","","","12.00","701-020","대구광역시 동구 신천동 1506 신세계동대구복합환승센터","대구광역시 동구 동부로 149, 신세계동대구복합환승센터 지하1층 (신천동)","41229","주식회사 리은푸드","2026-02-27 12:26:08","I","2026-03-04 00:20:37","기타 휴게음식점","347037.241970286","265407.404336831","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","12","","","",
"2","휴게음식점","07_24_05_P","3420000","3420000-104-2026-00045","2026-02-27","","01","영업/정상","01","영업","","","","","","28.00","701-020","대구광역시 동구 신천동 1506 신세계동대구복합환승센터","대구광역시 동구 동부로 149, 신세계동대구복합환승센터 지하1층 (신천동)","41229","모찌네 당고(mochine dango)","2026-02-27 12:30:30","I","2026-03-04 00:20:37","기타 휴게음식점","347037.241970286","265407.404336831","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","28","","","",
"3","휴게음식점","07_24_05_P","4810000","4810000-104-2026-00019","2026-03-03","","01","영업/정상","01","영업","","","","","","6.60","550-260","전라남도 여수시 여서동 491-7","전라남도 여수시 여서로 174, 1층 (여서동)","59721","또또분식","2026-03-01 09:44:39","I","2026-03-04 00:20:37","일반조리판매","264071.89807902","139100.904848508","일반조리판매","0","0","","","","0","0","0","0","0","","0","0","N","6.6","","","",
"4","휴게음식점","07_24_05_P","3210000","3210000-104-2026-00056","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","","137-713","서울특별시 서초구 반포동 19-3 지하1층 스위트파크","서울특별시 서초구 신반포로 176, 지하1층 스위트파크 (반포동)","06546","쉐프조","2026-03-01 04:15:08","U","2026-03-04 02:40:00","백화점","200250.447804795","444683.220506107","백화점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","휴게음식점","07_24_05_P","3290000","3290000-104-2026-00029","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","","614-732","부산광역시 부산진구 부전동 503-15 롯데백화점부산본점","부산광역시 부산진구 가야대로 772, 롯데백화점부산본점 지하2층 일부호 (부전동)","47285","(주)정성","2026-03-01 04:15:08","U","2026-03-04 02:40:00","기타 휴게음식점","387271.299492377","186099.137533193","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","휴게음식점","07_24_05_P","3180000","3180000-104-2026-00075","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","3.30","150-985","서울특별시 영등포구 영등포동4가 434-5 신세계백화점","서울특별시 영등포구 영중로 9, 신세계백화점 지하1층 (영등포동4가)","07305","(주)정성","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","191581.500265536","446108.807192753","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","3.3","","","",
"7","휴게음식점","07_24_05_P","3230000","3230000-104-2026-00048","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","","138-934","서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰","서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 지하1층 (신천동)","05551","올데이스테이","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","209074.900840074","445657.80932984","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","휴게음식점","07_24_05_P","3220000","3220000-104-2026-00076","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","","135-834","서울특별시 강남구 대치동 514 SETEC","서울특별시 강남구 남부순환로 3104, SETEC 지상 1층 제3전시실 (대치동)","06287","그레인솔트(한시적)","2026-03-01 04:15:10","U","2026-03-04 02:40:00","기타 휴게음식점","206279.206641169","443733.802684109","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","휴게음식점","07_24_05_P","3330000","3330000-104-2026-00041","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","","612-020","부산광역시 해운대구 우동 1495 신세계백화점센텀시티점","부산광역시 해운대구 센텀남대로 35, 신세계백화점센텀시티점 지하1층 (우동)","48058","(주)정성","2026-03-01 04:15:10","U","2026-03-04 02:40:00","기타 휴게음식점","393952.264486105","187602.933160728","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","휴게음식점","07_24_05_P","3020000","3020000-104-2026-00031","2026-02-09","","03","폐업","02","폐업","2026-02-28","","","","","","140-210","서울특별시 용산구 한남동 829 나인원 한남","서울특별시 용산구 한남대로 91 (한남동, 나인원 한남)","04401","봄그림","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","200231.538140657","448226.481350525","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
