"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","원목생산업","09_27_02_P","5070000","507000090202500007","2025-12-12","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 당북동 119-3 센트럴64","경상북도 안동시 제비원로 157-2, 209호 (당북동, 센트럴64)","36670","흥진산업개발","2026-03-01 12:29:05","I","2026-03-04 00:20:37","","353907.829692067","341949.064417355","원목생산업","2종","","박영주(09-23-14-04666)","0","0","영업",
"2","원목생산업","09_27_02_P","5070000","507000090202500002","2025-09-01","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 도산면 온혜리 569-5","경상북도 안동시 도산면 퇴계로 2620-1, 3호","36604","목화임업","2026-03-01 12:19:16","I","2026-03-04 00:20:37","","363596.557777856","362313.177690024","원목생산업","2종","","","0","0","영업",
"3","원목생산업","09_27_02_P","5070000","507000090201600001","2025-03-17","","01","영업/정상","1","정상","","","","","","","","","경상북도 안동시 전거리5길 13, 412동 103호 (용상동, 4주공아파트)","36715","***","2026-03-01 12:20:49","I","2026-03-04 00:20:37","","355907.714829677","341111.294477063","원목생산업","2종","","","0","0","영업",
"4","원목생산업","09_27_02_P","5070000","507000090201300003","2025-07-21","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 일직면 송리리 675","경상북도 안동시 일직면 굼치걸길 34","36756","***","2026-03-01 12:22:55","I","2026-03-04 00:20:37","","346679.159841972","332940.998566506","원목생산업","2종","","","0","0","영업",
"5","원목생산업","09_27_02_P","5070000","507000090202100001","2021-12-28","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 신안동 35-14","경상북도 안동시 퇴계로 184, 3층 (신안동)","36687","영진","2026-03-01 12:24:20","I","2026-03-04 00:20:37","","355024.99518094","342765.07291237","원목생산업","2종","","","0","0","영업",
"6","원목생산업","09_27_02_P","5070000","507000090202500008","2025-12-11","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 동부동 114-1","경상북도 안동시 중앙로 54, 6-8호 (동부동)","36701","주식회사 다함께","2026-03-01 12:27:27","I","2026-03-04 00:20:37","","355015.750401604","341817.174795336","원목생산업","2종","","노선우(기술자 자격증)","0","0","영업",
"7","원목생산업","09_27_02_P","5070000","507000090201400002","2026-02-19","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 정하동 300-1 화성드림파크 101동 1505호","경상북도 안동시 강남1길 108 (정하동, 화성드림파크)","36750","경북임업","2026-03-01 12:29:45","I","2026-03-04 00:20:37","","355124.086206146","339943.705492993","원목생산업","2종","","교육이수","0","0","영업",
"8","원목생산업","09_27_02_P","5070000","507000090201500004","2026-02-19","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 길안면 구수리 820","경상북도 안동시 길안면 수곡용계로 317","36737","***","2026-03-01 12:31:58","I","2026-03-04 00:20:37","","373337.761106659","332365.828730395","원목생산업","2종","","교육이수","0","0","영업",
"9","원목생산업","09_27_02_P","5070000","507000090201300009","2026-02-19","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 용상동 1078-34","경상북도 안동시 마들큰길 28 (용상동)","36725","***","2026-03-01 12:32:21","I","2026-03-04 00:20:37","","357116.886220409","340540.816746273","원목생산업","2종","","교육이수","0","0","영업",
"10","원목생산업","09_27_02_P","5070000","507000090201700001","2026-02-19","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 풍산읍 괴정리 202-2","경상북도 안동시 풍산읍 절뒤길 53","36618","라성에너지 주식회사","2026-03-01 12:30:58","U","2026-03-04 02:40:00","","334920.786251231","341933.190223308","원목생산업","2종","","교육이수","0","0","영업",
"11","원목생산업","09_27_02_P","5070000","507000090202200001","2022-04-27","","01","영업/정상","1","정상","","","","","","","","","경상북도 안동시 강남5길 92, 105동 406호 (정하동, 현진에버빌)","36749","***","2026-03-01 12:18:06","U","2026-03-04 02:40:00","","355024.99518094","342765.07291237","원목생산업","2종","","","0","0","영업",
"12","원목생산업","09_27_02_P","5070000","507000090202500004","2025-10-30","","01","영업/정상","1","정상","","","","","","","","경상북도 안동시 법흥동 277 강변펠리시아","경상북도 안동시 육사로 333, 상가동 202호 (법흥동, 강변펠리시아)","36709","일출임업","2026-03-01 12:26:04","U","2026-03-04 02:40:00","","363596.557777856","362313.177690024","원목생산업","2종","","박성식","0","10","영업",
