"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","대기오염물질배출시설설치사업장","09_30_08_P","3420000","342000021202600001","2026-02-27","","01","영업/정상","11","영업","","","","","053-608-4252","","","대구광역시 동구 각산동 1022 대구동부소방서","대구광역시 동구 매여로 76, 대구동부소방서 (각산동)","41064","대구소방교육훈련센터","2026-02-27 15:35:40","I","2026-03-04 00:20:37","소방서","354147.217099409","266559.143209449","대기배출업소관리","소방서","5종","","1","100","1","100","5038302946",
"2","대기오염물질배출시설설치사업장","09_30_08_P","6280000","628000001202600005","2026-03-01","","01","영업/정상","01","영업","","","","","0328130707","","","인천광역시 남동구 고잔동 664-2 97B-3L","인천광역시 남동구 남동동로154번길 20, 97B-3L (고잔동)","21691","(주)우성테크노믹스","2026-03-01 10:48:23","I","2026-03-04 00:20:37","","173398.378204981","432890.501714477","대기배출업소관리","기타 기계ㆍ장비 조립용 플라스틱제품 제조업","5종","","0","0","0","0","2468102340",
"3","대기오염물질배출시설설치사업장","09_30_08_P","4040000","404000021202600003","2026-02-27","","01","영업/정상","11","영업","","","","","","","","경기도 하남시 광암동 399-5","경기도 하남시 초광산단동로 5, 1층 (광암동)","12989","카시딘(CARCIDIN)","2026-03-02 10:44:41","I","2026-03-04 00:20:37","자동차 수리업","215182.881335907","447401.029241812","대기배출업소관리","자동차 수리업","5종","","","0","","0","5792202068",
"4","대기오염물질배출시설설치사업장","09_30_08_P","6430000","643000001200800056","2015-08-06","","01","영업/정상","01","영업","","","","","","","","충청북도 청주시흥덕구 송정동   248번지 6호","충청북도 청주시 흥덕구 직지대로436번길 24 (송정동)","361-290","인듐코퍼레이션코리아(유)","2026-03-01 08:31:47","U","2026-03-04 02:40:00","","239300.682455689","349190.65095619","대기배출업소관리","기타 비철금속 제련, 정련 및 합금 제조업","5종","비철금속 인듐","17","360","0","0","3018196349",
"5","대기오염물질배출시설설치사업장","09_30_08_P","6410000","641000001200900155","2009-02-23","","01","영업/정상","01","영업","","","","","03180599637","","","경기도 화성시 장안면 금의리  760번지 2호 장안첨단지방산단","경기도 화성시 장안면 장안공단7길 28 (장안첨단지방산단)","445-941","(주)노루오토코팅","2026-03-02 17:26:11","U","2026-03-04 02:40:00","","","","대기배출업소관리","일반용 도료 및 관련제품 제조업","3종","","8","240","0","0","",
"6","대기오염물질배출시설설치사업장","09_30_08_P","6410000","641000001201000197","2000-02-28","","01","영업/정상","01","영업","","","","","","","","경기도 안성시 서운면 신흥리  181번지 4호","경기도 안성시 서운면 사갑1길 296-133","","삼강산업개발(주)","2026-03-02 17:25:19","U","2026-03-04 02:40:00","","221656.141526297","379675.824414609","대기배출업소관리","아스콘 제조업","2종","","0","0","0","0","",
"7","대기오염물질배출시설설치사업장","09_30_08_P","6410000","641000001202100172","2021-03-03","","01","영업/정상","01","영업","","","","","","","","경기도 화성시 향남읍 구문천리 930-13","경기도 화성시 향남읍 발안공단로4길 114","18623","와이엠테크","2026-03-02 17:32:19","U","2026-03-04 02:40:00","","","","대기배출업소관리","도금업","4종","","0","0","0","0","3656800042",
"8","대기오염물질배출시설설치사업장","09_30_08_P","6410000","641000001202000146","2020-01-01","","01","영업/정상","01","영업","","","","","","","","경기도 화성시 향남읍 구문천리 930-16","경기도 화성시 향남읍 발안공단로4길 110","18623","(주)대한테크","2026-03-02 17:31:42","U","2026-03-04 02:40:00","","","","대기배출업소관리","도금업","5종","","0","0","0","0","",
"9","대기오염물질배출시설설치사업장","09_30_08_P","6540000","654000001201600022","2016-01-07","","01","영업/정상","01","영업","","","","","0632608818","","","","전북특별자치도 완주군 봉동읍 완주산단4로 19","55321","(주)케이씨씨 전주1공장","2026-03-01 08:39:07","U","2026-03-04 02:40:00","","210706.007346556","271382.506482122","대기배출업소관리","플라스틱제품 제조업","1종","","0","0","0","0","",
"10","대기오염물질배출시설설치사업장","09_30_08_P","6430000","643000001202100009","2021-03-30","","01","영업/정상","01","영업","","","","","","","","충청북도 음성군 금왕읍 봉곡리 679번지","충청북도 음성군 금왕읍 금왕테크노로 46","27680","(주)자연","2026-03-02 16:40:38","U","2026-03-04 02:40:00","","250534.372624475","384927.11278648","대기배출업소관리","치약, 비누 및 기타 세제 제조업","5종","세제 등","8","240","8","240","1378152245",
