"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","판매점영업면적",
"1","안전상비의약품 판매업소","01_01_05_P","3390000","PHMH320263390023087500001","2026-01-26","","01","영업/정상","13","영업중","","","","","","","","부산광역시 사상구 학장동 561 현재빌딩","부산광역시 사상구 학감대로 120, 현재빌딩 1층 102,103호 (학장동)","47048","씨유 학장세원점","2026-01-23 15:35:26","I","2026-01-25 00:20:02","","381189.126247857","184319.823237662","66",
"2","안전상비의약품 판매업소","01_01_05_P","3150000","PHMH320263150037087500003","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 공항동 42-22","서울특별시 강서구 공항대로 34, 1층 (공항동)","07623","지에스25 강서송정역점","2026-01-23 17:59:52","I","2026-01-25 00:20:02","","183227.963853126","450986.476023762","0",
"3","안전상비의약품 판매업소","01_01_05_P","3110000","PHMH320263110032087500002","2026-01-20","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 은평구 통일로92길 18, 1층 (불광동)","03340","이마트24 은평불광동점","2026-01-23 15:11:11","I","2026-01-25 00:20:02","","193031.525284737","458114.18431746","66",
"4","안전상비의약품 판매업소","01_01_05_P","4761000","PHMH320264761004087500001","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","","전북특별자치도 임실군 임실읍 봉황11길 102, 1층","55927","씨유 임실하나점","2026-01-23 14:34:33","I","2026-01-25 00:20:02","","225804.290782629","235258.059372967","93.22",
"5","안전상비의약품 판매업소","01_01_05_P","3780000","PHMH320263780064087500002","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 분당구 구미동 300 분당서울대학교병원 지1층","경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 지1호 (구미동)","13620","(주)비지에프리테일분당서울대병원신관점","2026-01-23 09:23:02","I","2026-01-25 00:20:02","","210937.260614583","427534.279932334","0",
"6","안전상비의약품 판매업소","01_01_05_P","5670000","PHMH320265670554087500005","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 성산구 가음동 38-1","경상남도 창원시 성산구 가양로56번길 2, 지하 1층 (가음동)","51490","씨유 창원가양로점","2026-01-23 10:45:29","I","2026-01-25 00:20:02","","354774.403793282","191043.360975195","45.28",
"7","안전상비의약품 판매업소","01_01_05_P","3360000","PHMH320193360024087500001","2019-02-26","","01","영업/정상","13","영업중","","","","","051-941-1788","","","부산광역시 강서구 생곡동 1631-4","부산광역시 강서구 가락대로 699, 101호 (생곡동)","46747","지에스(GS)25 뉴강서가락점","2026-01-23 15:21:16","U","2026-01-25 02:40:00","","370230.650563007","183589.960942564","82.64",
"8","안전상비의약품 판매업소","01_01_05_P","4520000","PHMH320164520031087500008","2016-03-09","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 1481번지","충청남도 아산시 배방읍 설화고길 10-11","31467","GS25 설화고점","2026-01-23 10:32:03","U","2026-01-25 02:40:00","","208165.982638901","365250.884579178","82",
"9","안전상비의약품 판매업소","01_01_05_P","3480000","PHMH320193480012087500014","2019-04-01","","01","영업/정상","13","영업중","","","","","","","","","대구광역시 달성군 현풍읍 현풍동로 47","42996","이마트24 현풍타운점","2026-01-23 15:33:27","U","2026-01-25 02:40:00","","331081.936799688","244831.76205532","33",
"10","안전상비의약품 판매업소","01_01_05_P","3530000","PHMH320193530019087500024","2019-04-25","","01","영업/정상","13","영업중","","","","","","","","인천광역시 남동구 구월동 24 롯데캐슬골드","인천광역시 남동구 호구포로 803, 상가동 1층 103호 (구월동, 롯데캐슬골드)","21562","씨유구월롯데캐슬점","2026-01-23 17:24:00","U","2026-01-25 02:40:00","","174879.339472652","439126.109849944","44.6",
"11","안전상비의약품 판매업소","01_01_05_P","4191000","PHMH320214190023087500029","2021-06-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 846","강원특별자치도 원주시 장미공원길 27(단계동)","26436","(주)코리아세븐 원주단계3점","2026-01-23 18:23:11","U","2026-01-25 02:40:00","","282527.752412888","427630.014684131","165",
"12","안전상비의약품 판매업소","01_01_05_P","3920000","PHMH320243920017087500007","2024-08-27","","03","폐업","03","폐업","2026-01-23","","","","","","","경기도 동두천시 지행동 717-2 송내주공아파트","경기도 동두천시 지행로 12, 송내주공아파트 제상가2동 101호 (지행동)","11349","지에스25 송내주공1단지점","2026-01-23 11:23:57","U","2026-01-25 02:40:00","","204276.226067023","487571.483311231","0",
"13","안전상비의약품 판매업소","01_01_05_P","6510000","PHMH320136510096087500039","2013-11-11","","03","폐업","03","폐업","2025-12-23","","","","","","690-061","제주특별자치도 제주시 화북일동 1023번지 2호","제주특별자치도 제주시 화삼북로2길 32 (화북일동)","63303","지에스(GS) 제주삼화점","2026-01-23 17:24:05","U","2026-01-25 02:40:00","","160535.805646102","2089.03609875678","0",
"14","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320184640131087500059","2018-07-09","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 덕진동2가 690","전북특별자치도 전주시 덕진구 경동로 18, 상가동 101호 (덕진동2가)","54891","세븐일레븐전주하가부영점","2026-01-23 10:18:51","U","2026-01-25 02:40:00","","209714.951374925","260218.796963691","0",
"15","안전상비의약품 판매업소","01_01_05_P","4810000","PHMH320144810029087500030","2014-10-23","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 학동 40-1","전라남도 여수시 쌍봉로 74, 1층 (학동)","59677","세븐일레븐 여수제일점","2026-01-23 09:07:11","U","2026-01-25 02:40:00","","260714.278939533","141033.50272786","83",
"16","안전상비의약품 판매업소","01_01_05_P","4671000","PHMH320124670076087500058","2012-11-12","","03","폐업","03","폐업","2026-01-22","","","","","","","전북특별자치도 군산시 미룡동 879-1","전북특별자치도 군산시 황룡로 10, 103호 (미룡동)","54156","미니스톱군산대학로점","2026-01-23 13:36:44","U","2026-01-25 02:40:00","","171634.981096719","271701.469611125","0",
"17","안전상비의약품 판매업소","01_01_05_P","4671000","PHMH320124670076087500084","2012-11-14","","03","폐업","03","폐업","2026-01-22","","","","471-0516","","","전북특별자치도 군산시 지곡동 26번지","전북특별자치도 군산시 상지곡3길 21-2 (지곡동)","54103","GS25지곡스타점","2026-01-23 13:36:34","U","2026-01-25 02:40:00","","173535.883246562","273161.621428542","0",
"18","안전상비의약품 판매업소","01_01_05_P","4450000","PHMH320264450014087500001","2026-01-19","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 덕산읍 두촌리 3145 충북혁신도시동일하이빌 파크테라스아파트","충청북도 진천군 덕산읍 대하로 194, 501동 101,102호 (충북혁신도시동일하이빌 파크테라스아파트)","27872","지에스25 진천동일하이빌점","2026-01-23 10:47:41","U","2026-01-25 02:40:00","","248050.065066604","378286.283361899","87",
"19","안전상비의약품 판매업소","01_01_05_P","3050000","PHMH320233050034087500015","2023-04-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 답십리동 468-1","서울특별시 동대문구 답십리로38길 47-1, 1층 (답십리동)","02596","씨유 뉴답십리점","2026-01-23 10:04:54","U","2026-01-25 02:40:00","","204273.938073137","452239.286638415","0",
"20","안전상비의약품 판매업소","01_01_05_P","4450000","PHMH320254450014087500009","2025-07-30","","01","영업/정상","13","영업중","","","","","043-537-2711","","","","충청북도 진천군 덕산읍 시가로 15","27875","엔마트 진천혁신점","2026-01-23 10:49:38","U","2026-01-25 02:40:00","","247451.502979309","378049.544596402","1643",
"21","안전상비의약품 판매업소","01_01_05_P","5670000","PHMH320205670554087500035","2020-07-27","","03","폐업","03","폐업","2026-01-22","","","","","","","경상남도 창원시 성산구 가음동 38-1","경상남도 창원시 성산구 가양로56번길 2 (가음동)","51490","세븐일레븐 창원남산점","2026-01-23 08:55:18","U","2026-01-25 02:40:00","","354774.403793282","191043.360975195","0",
"22","안전상비의약품 판매업소","01_01_05_P","5370000","PHMH320185370025087500035","2018-10-01","","01","영업/정상","13","영업중","","","","","","","","경상남도 거제시 고현동 206번지","경상남도 거제시 거제중앙로 1841, 1층 (고현동)","53258","이마트24 거제스타점","2026-01-23 14:27:29","U","2026-01-25 02:40:00","","348553.644663425","154987.742808754","0",
"23","안전상비의약품 판매업소","01_01_05_P","5380000","PHMH320225380021087500038","2022-10-21","","01","영업/정상","13","영업중","","","","","","","","경상남도 양산시 평산동 1202 양산 평산동 삼한사랑채","경상남도 양산시 평산로 101-20, 상가동 B102호,B103호 (평산동, 양산 평산동 삼한사랑채)","50541","씨유 양산평산사랑채점","2026-01-23 15:01:59","U","2026-01-25 02:40:00","","394694.736792259","211114.795716676","0",
"24","안전상비의약품 판매업소","01_01_05_P","5340000","PHMH320125340030087500021","2012-11-12","","01","영업/정상","13","영업중","","","","","855-8833","","","경상남도 사천시 사천읍 선인리 194번지 24호","경상남도 사천시 사천읍 읍내로 118","52517","씨유 신사천중앙점","2026-01-23 16:49:51","U","2026-01-25 02:40:00","","299962.281054108","176177.130763415","50",
"25","안전상비의약품 판매업소","01_01_05_P","5540000","PHMH320185540016087500040","2018-10-25","","03","폐업","03","폐업","2024-12-31","","","","","","","경기도 광주시 쌍령동 503번지 광주 센트럴 푸르지오","경기도 광주시 경충대로1461번길 43 (쌍령동, 광주 센트럴 푸르지오)","12791","씨유 쌍령푸르지오점","2026-01-23 15:24:15","U","2026-01-25 02:40:00","","223790.006066315","432759.124890495","99",
"26","안전상비의약품 판매업소","01_01_05_P","4450000","PHMH320204450014087500013","2020-12-24","","03","폐업","03","폐업","2026-01-26","","","","","","","충청북도 진천군 광혜원면 실원리 산 29","충청북도 진천군 광혜원면 생거진천로 2941, 101호호","27800","씨유 중부휴게소점","2026-01-23 18:39:06","U","2026-01-25 02:40:00","","238773.150582033","389394.766832598","84",
"27","안전상비의약품 판매업소","01_01_05_P","3660000","PHMH320203660023087500039","2020-11-23","","01","영업/정상","13","영업중","","","","","","","","","대전광역시 서구 용소로50번길 13, 102호 (가수원동)","35369","씨유 대전황실타운점","2026-01-23 09:07:25","U","2026-01-25 02:40:00","","231688.98880015","312074.106750797","0",
"28","안전상비의약품 판매업소","01_01_05_P","3390000","PHMH320213390023087500004","2021-01-28","","03","폐업","03","폐업","2026-01-23","","","","","","","부산광역시 사상구 학장동 561 현재빌딩","부산광역시 사상구 학감대로 120, 현재빌딩 (학장동)","47048","씨유 학장세원점","2026-01-23 14:28:57","U","2026-01-25 02:40:00","","381189.126247857","184319.823237662","66",
