"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기기판매(임대)업","01_02_03_P","4090000","PHMG120264090023047000010","2021-11-05","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 풍무동 ***","경기도 김포시 풍무*로 **, ***호 (풍무동)","10113","에이치덴탈","2026-01-23 09:33:59","I","2026-01-25 00:20:02","","175712.066499505","456321.190027457","","","6.6","",
"2","의료기기판매(임대)업","01_02_03_P","4090000","PHMG120264090023047000012","2026-01-20","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 양촌읍 양곡리 ****","경기도 김포시 양촌읍 양곡*로**번길 **, ***동 ****호","10060","오르비스시스템","2026-01-23 14:28:06","I","2026-01-25 00:20:02","","167385.026555131","461886.550297974","","","","",
"3","의료기기판매(임대)업","01_02_03_P","4090000","PHMG120264090023047000013","2026-01-21","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 통진읍 옹정리 ***-**","경기도 김포시 통진읍 옹정로 **, *층","10029","투케이영","2026-01-23 14:30:44","I","2026-01-25 00:20:02","","161917.105517997","465004.054235257","","","","",
"4","의료기기판매(임대)업","01_02_03_P","3620000","PHMG120263620020047000008","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","광주광역시 북구 신안동 ***","광주광역시 북구 무등로***번길 **, *층 ***호 (신안동)","61231","제이제이룸","2026-01-23 10:36:32","I","2026-01-25 00:20:02","","190502.329201818","185512.198770091","","","","",
"5","의료기기판매(임대)업","01_02_03_P","3220000","PHMG120263220033047000033","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 ***-*","서울특별시 강남구 강남대로***길 **, *층 제이***호 (논현동)","06121","주식회사 라피키아","2026-01-23 17:39:10","I","2026-01-25 00:20:02","","202418.090672911","444911.502269899","","","3.3","",
"6","의료기기판매(임대)업","01_02_03_P","3220000","PHMG120263220033047000034","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 대치동 ***-** H 타워","서울특별시 강남구 테헤란로**길 **, H 타워 ***-제이***호 (대치동)","06193","주식회사 제이엠공감팩토리","2026-01-23 17:39:57","I","2026-01-25 00:20:02","","204639.090092973","444728.353701831","","","3.3","",
"7","의료기기판매(임대)업","01_02_03_P","5350000","PHMG120265350351047000003","2026-01-23","","01","영업/정상","13","영업중","","","","","055-724-1472","","","경상남도 김해시 삼계동 **** 삼계 한라비발디 센텀시티","경상남도 김해시 두곡로 **, B***호 (삼계동, 삼계 한라비발디 센텀시티)","50830","다이클로 한라비발디센텀시티점","2026-01-23 17:24:55","I","2026-01-25 00:20:02","","369798.818970285","198492.792133567","","","","",
"8","의료기기판매(임대)업","01_02_03_P","3780000","PHMG120263780063047000004","2026-01-22","","01","영업/정상","13","영업중","","","","","","","","","경기도 성남시 중원구 둔촌대로***번길 **, 엠타워 *층 ***호 (성남동)","13365","(주)파마브릿지","2026-01-23 14:22:46","I","2026-01-25 00:20:02","","211417.043903036","436672.966110785","","","","",
"9","의료기기판매(임대)업","01_02_03_P","3780000","PHMG120263780063047000005","2026-01-23","","01","영업/정상","13","영업중","","","","","031-721-5757","","","경기도 성남시 중원구 성남동 **** 성남 아리스타","경기도 성남시 중원구 둔촌대로**번길 *-**, 성남 아리스타 *층 ***호호 (성남동)","13383","중앙의료기&건강식품","2026-01-23 17:06:57","I","2026-01-25 00:20:02","","211295.288709461","436367.591449225","","","26.2","",
"10","의료기기판매(임대)업","01_02_03_P","3780000","PHMG120263780063047000006","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 중원구 성남동 **** 엠타워","경기도 성남시 중원구 둔촌대로***번길 **, 엠타워 비***호 (성남동)","13365","주식회사 로투투바이오","2026-01-23 17:09:01","I","2026-01-25 00:20:02","","211417.043903036","436672.966110785","","","11.5","",
