"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수","주사육업종",
"1","가축사육업","02_04_01_P","4420000","442000003320260004","2026-01-23","","01","영업/정상","0000","정상","","","","","","","","충청북도 보은군 삼승면 선곡리 ***-*","","","신현묵 농장","2026-01-23 09:32:41","I","2026-01-25 00:20:02","","264457.107406125","326027.404646054","가축사육업","","1469","000","0","염소",
"2","가축사육업","02_04_01_P","4251000","425100003320260002","2026-01-23","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 홍천군 홍천읍 결운리 ***-*","강원특별자치도 홍천군 홍천읍 홍천로 ***-**","25126","행운농장","2026-01-23 09:14:11","I","2026-01-25 00:20:02","","280417.478090656","468730.417844933","가축사육업","","2036","000","0","염소",
"3","가축사육업","02_04_01_P","4440000","444000003320260002","2026-01-23","","01","영업/정상","0000","정상","","","","","","","","충청북도 영동군 영동읍 봉현리 ***-*","충청북도 영동군 영동읍 심원회포로 ***","29132","명가농장","2026-01-23 09:39:32","I","2026-01-25 00:20:02","","273215.488791827","301091.584896011","가축사육업","","642","000","0","염소",
"4","가축사육업","02_04_01_P","4460000","446000003320260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","","","충청북도 괴산군 소수면 고마리 *** ,***-*,***,***,***,***,****-*,****","충청북도 괴산군 소수면 원소로 ****-*","28043","안혜경양계장","2026-01-23 17:49:16","I","2026-01-25 00:20:02","","266377.628430379","370446.294324218","가축사육업","","1299","000","0","종계/산란계",
"5","가축사육업","02_04_01_P","4490000","449000003320260001","2026-01-23","","01","영업/정상","0000","정상","","","","","","","","충청남도 천안시 동남구 수신면 발산리 **-* 외 *필지(**-*, **-*, **-*)","","","도노소 농장","2026-01-23 09:04:44","I","2026-01-25 00:20:02","","226085.142811106","358588.529039397","가축사육업","","1692","000","0","한우",
"6","가축사육업","02_04_01_P","4430000","443000003320150015","2015-09-07","","01","영업/정상","0000","정상","","","","","","","373-862","","충청북도 옥천군 이원면 이원로 *","29064","농업회사법인(주)향수농장","2026-01-23 17:22:12","U","2026-01-25 02:40:00","","257017.069377612","297877.576554371","가축사육업","","636","L00","0","한우",
"7","가축사육업","02_04_01_P","4440000","444000003320230014","2023-08-01","","01","영업/정상","0000","정상","","","","","","","","충청북도 영동군 영동읍 설계리 ***","","","대성농장","2026-01-23 13:55:05","U","2026-01-25 02:40:00","","271183.490718949","300127.060979853","가축사육업","","606","000","0","염소",
"8","가축사육업","02_04_01_P","4050000","405000003320050360","2005-10-31","","01","영업/정상","0000","정상","","","","","","0","449-814","경기도 용인시 처인구 포곡읍 신원리 *** ***-* 및 ***-*","경기도 용인시 처인구 포곡읍 선장*로***번길 **, 및 **","17022","우성농장","2026-01-23 10:54:59","U","2026-01-25 02:40:00","","218600.132733678","423964.294525278","가축사육업","","407","000","0","한우",
"9","가축사육업","02_04_01_P","5700000","411000003320050342","2005-07-14","","01","영업/정상","0000","정상","","","","","","0","469-872","경기도 여주시 점동면 처리 산 **-* 외 *번지(**-*)","경기도 여주시 점동면 처리*길 ***-*","12666","복성목장","2026-01-23 09:24:55","U","2026-01-25 02:40:00","","260162.224095508","412837.465173492","가축사육업","","470","000","0","젖소",
"10","가축사육업","02_04_01_P","4060000","406000003320050527","2005-07-08","","01","영업/정상","0000","정상","","","","","","0","413-914","경기도 파주시 적성면 장현리 *** (장현리 ***-*, ***-*, ***-*, ***, ***)","경기도 파주시 적성면 담안길 **-** (장현리 ***-*, ***-*, ***-*, ***, ***)","10804","안드레아목장","2026-01-23 09:27:04","U","2026-01-25 02:40:00","","196640.461591265","497241.311776907","가축사육업","","698","000","0","젖소",
