"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"1","세탁업","06_20_01_P","4010000","4010000-205-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","99.00","429-070","경기도 시흥시 안현동 364-9","경기도 시흥시 수인로3087번길 23, 1층 (안현동)","14937","오클린","2026-01-23 15:33:43","I","2026-01-25 00:20:02","일반세탁업","183103.147864587","436371.949234318","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","3","N",
"2","세탁업","06_20_01_P","3220000","3220000-205-2021-00016","2021-01-27","","01","영업/정상","01","영업","","","","","","49.50","135-925","서울특별시 강남구 역삼동 749-5","서울특별시 강남구 역삼로15길 20, 지상1층 102호 (역삼동)","06245","대림세탁소","2026-01-23 14:11:22","I","2026-01-25 00:20:02","일반세탁업","203070.155729917","443773.129510266","일반세탁업","1","0","0","0","0","0","","","","임대","2","0","0","1","N",
"3","세탁업","06_20_01_P","3670000","3670000-205-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","305-325","대전광역시 유성구 노은동 520-1 열매마을아파트 8단지 새미래 상가동 지상1층 101호","대전광역시 유성구 은구비남로 34, 상가동 지상1층 101호 (노은동, 열매마을아파트 8단지 새미래)","34090","새미래명품세탁소","2026-01-23 14:03:50","I","2026-01-25 00:20:02","일반세탁업","228581.140989836","318928.916790256","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","1","N",
"4","세탁업","06_20_01_P","3920000","3920000-205-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","24.40","483-010","경기도 동두천시 송내동 701-1","경기도 동두천시 평화로2229번길 10-16, 주2동 1층 (송내동)","11365","크린토피아 코인워시365","2026-01-23 16:18:41","I","2026-01-25 00:20:02","일반세탁업","204878.541920037","487197.518728157","일반세탁업","0","0","0","0","0","0","","","","임대","5","0","0","4","N",
"5","세탁업","06_20_01_P","3400000","3400000-205-2023-00001","2023-06-30","","01","영업/정상","01","영업","","","","","","164.80","619-903","부산광역시 기장군 기장읍 대라리 178-7","부산광역시 기장군 기장읍 대청로14번길 31, B동 1층","46074","영크리닝(기장점)","2026-01-23 17:27:48","U","2026-01-25 02:40:00","일반세탁업","401282.171465728","195256.837123765","일반세탁업","2","0","0","1","0","0","","","","임대","3","0","0","6","N",
"6","세탁업","06_20_01_P","3270000","3270000-205-2006-00001","2006-03-24","","01","영업/정상","01","영업","","","","","051 464 5075","89.25","601-836","부산광역시 동구 초량동 1155 반도보라상가102호","부산광역시 동구 중앙대로320번길 10 (초량동,반도보라상가102호)","48729","반도크리닝","2026-01-23 14:22:06","U","2026-01-25 02:40:00","일반세탁업","386429.53939032","182461.939772","일반세탁업","35","3","1","1","0","0","","","","임대","0","","","0","N",
"7","세탁업","06_20_01_P","3660000","3660000-205-2006-00013","2006-09-19","","01","영업/정상","01","영업","","","","","042471 7247","0.00","302-852","대전광역시 서구 월평동 463","대전광역시 서구 한밭대로570번길 12-21, 1층 (월평동)","35221","월평세탁소","2026-01-23 13:32:55","U","2026-01-25 02:40:00","일반세탁업","232325.929098468","317479.28363133","일반세탁업","0","0","1","1","0","0","","","","임대","3","","","1","N",
"8","세탁업","06_20_01_P","3740000","3760000-205-2024-00001","2024-07-29","","01","영업/정상","01","영업","","","","","","21.24","441-400","경기도 수원시 권선구 곡반정동 549-10 104호","경기도 수원시 권선구 곡선로49번길 32-17, 1층 104호 (곡반정동)","16670","해피운동화세탁","2026-01-23 14:51:45","U","2026-01-25 02:40:00","운동화전문세탁업","202732.543551031","415348.600234145","운동화전문세탁업","0","0","0","0","0","0","","","","","0","0","0","1","N",
"9","세탁업","06_20_01_P","4810000","4810000-205-2026-00002","2026-01-15","","01","영업/정상","01","영업","","","","","","46.62","555-110","전라남도 여수시 화장동 772-20","전라남도 여수시 화산로 27, 가1층 (화장동)","59642","동네 세탁소","2026-01-23 17:10:38","U","2026-01-25 02:40:00","일반세탁업","258659.48172449","141699.084717593","일반세탁업","2","0","1","1","0","0","","","","","3","0","0","1","N",
"10","세탁업","06_20_01_P","3550000","3550000-205-2024-00001","2024-02-16","","01","영업/정상","01","영업","","","","","","12.00","407-832","인천광역시 계양구 효성동 623-119","인천광역시 계양구 봉오대로 446, 2층 203호 일부호 (효성동)","21104","라인에스엠피","2026-01-23 15:41:02","U","2026-01-25 02:40:00","일반세탁업","173345.246961995","447236.685355771","일반세탁업","5","1","2","2","0","0","","","","임대","0","0","0","0","N",
