"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소식품판매업","07_22_01_P","3680000","3680000-122-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","042 623 9426","32.68","306-818","대전광역시 대덕구 오정동 98-8","대전광역시 대덕구 오정로78번길 106, 1층 (오정동)","34437","더조은유통","2026-01-23 14:58:49","I","2026-01-25 00:20:02","집단급식소 식품판매업","237086.073494869","317363.378115648","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","집단급식소식품판매업","07_22_01_P","3680000","3680000-122-2026-00003","2026-01-23","","01","영업/정상","01","영업","","","","","042 622 3853","85.20","306-813","대전광역시 대덕구 송촌동 550-3","대전광역시 대덕구 선비마을로6번길 15-15, 1층 (송촌동)","34405","미트박스","2026-01-23 15:55:10","I","2026-01-25 00:20:02","집단급식소 식품판매업","240049.506433422","318003.487210504","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"3","집단급식소식품판매업","07_22_01_P","4040000","4040000-122-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","202.84","465-250","경기도 하남시 하산곡동 155-6","경기도 하남시 검단산로34번길 21, 1층 (하산곡동)","13024","주식회사 위드아이엔씨","2026-01-23 14:16:58","I","2026-01-25 00:20:02","집단급식소 식품판매업","219949.302929136","446357.812898019","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"4","집단급식소식품판매업","07_22_01_P","4201000","4201000-122-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","196.35","","강원특별자치도 강릉시 두산동 29-5","강원특별자치도 강릉시 강변로670번길 32-1 (두산동)","25573","세우리유통","2026-01-23 13:40:04","I","2026-01-25 00:20:02","집단급식소 식품판매업","370240.122881075","475570.997534181","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00023","2026-01-22","","01","영업/정상","01","영업","","","","","","","618-806","부산광역시 강서구 대저1동 1663-6 A동 1층 일부","부산광역시 강서구 평강로302번길 93, A동 1층 일부 (대저1동)","46704","예준푸드","2026-01-23 16:58:02","I","2026-01-25 00:20:02","집단급식소 식품판매업","377575.324224916","192163.508824179","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00024","2026-01-22","","01","영업/정상","01","영업","","","","","","","618-806","부산광역시 강서구 대저1동 1663-6 A동 1층 일부","부산광역시 강서구 평강로302번길 93, A동 1층 일부 (대저1동)","46704","엠에스푸드","2026-01-23 16:58:30","I","2026-01-25 00:20:02","집단급식소 식품판매업","377575.324224916","192163.508824179","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00025","2026-01-23","","01","영업/정상","01","영업","","","","","","33.00","618-806","부산광역시 강서구 대저1동 1663-6","부산광역시 강서구 평강로302번길 93, A동 1층 일부 (대저1동)","46704","예지푸드","2026-01-23 11:58:32","I","2026-01-25 00:20:02","집단급식소 식품판매업","377575.324224916","192163.508824179","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","33","","","",
"8","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00026","2026-01-23","","01","영업/정상","01","영업","","","","","","33.00","618-806","부산광역시 강서구 대저1동 1663-6","부산광역시 강서구 평강로302번길 93, A동 1층 일부 (대저1동)","46704","푸드민","2026-01-23 14:44:04","I","2026-01-25 00:20:02","집단급식소 식품판매업","377575.324224916","192163.508824179","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","33","","","",
"9","집단급식소식품판매업","07_22_01_P","4050000","5620000-122-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","377.25","449-872","경기도 용인시 처인구 원삼면 사암리 970-1","경기도 용인시 처인구 원삼면 용암로 2, 1층","17167","농업회사법인(주)우리들","2026-01-23 17:44:51","I","2026-01-25 00:20:02","집단급식소 식품판매업","226162.411978423","408484.120456749","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","377.25","","","",
"10","집단급식소식품판매업","07_22_01_P","3670000","3670000-122-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","","305-250","대전광역시 유성구 교촌동 469-5 지상1층","대전광역시 유성구 유성대로155번길 32, 지상1층 (교촌동)","34224","(주)수정푸드","2026-01-23 16:58:02","I","2026-01-25 00:20:02","집단급식소 식품판매업","228257.250362171","312340.079486186","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
