"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","유통전문판매업","07_22_17_P","3780000","3780000-113-2026-00005","2026-01-23","","01","영업/정상","01","영업","","","","","","","463-410","경기도 성남시 분당구 판교동 494 판교원마을12단지아파트 1204동 4층 402(일부)호","경기도 성남시 분당구 서판교로 165, 1204동 4층 402(일부)호 (판교동, 판교원마을12단지아파트)","13472","주식회사 주선생","2026-01-23 11:39:45","I","2026-01-25 00:20:02","유통전문판매업","208147.947418491","433094.043522541","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","유통전문판매업","07_22_17_P","5670000","5670140-113-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","","642-831","경상남도 창원시 성산구 상남동 78-3 마이우스빌딩 1306호","경상남도 창원시 성산구 중앙대로 104, 마이우스빌딩 1306호 (상남동)","51494","예드림건강","2026-01-23 13:53:17","I","2026-01-25 00:20:02","유통전문판매업","352952.623452564","192871.770132094","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","유통전문판매업","07_22_17_P","4060000","4060000-113-2025-00093","2025-10-24","","01","영업/정상","01","영업","","","","","07080653078","3.30","413-120","경기도 파주시 문발동 531-2 점프존상가","경기도 파주시 문발로 140, 점프존상가 301호 일부(L37) (문발동)","10881","이지앤샵","2026-01-23 17:11:19","I","2026-01-25 00:20:02","유통전문판매업","172287.070736993","467217.624973932","유통전문판매업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"4","유통전문판매업","07_22_17_P","4060000","4060000-113-2026-00008","2026-01-23","","01","영업/정상","01","영업","","","","","","3.30","413-100","경기도 파주시 동패동 1761-3 한울프라자","경기도 파주시 미래로 369-13, 403-씨29호 (동패동)","10905","주식회사 루멘프로코리아","2026-01-23 16:32:10","I","2026-01-25 00:20:02","유통전문판매업","177470.605640572","467653.626475244","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","유통전문판매업","07_22_17_P","4540000","4540000-113-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","60.42","320-836","충청남도 논산시 연무읍 양지리 535-41 노인회관","충청남도 논산시 연무읍 감바위로30번길 12-2, 노인회관 1층","33011","논산딸기당","2026-01-23 15:31:03","I","2026-01-25 00:20:02","유통전문판매업","211554.28099392","291278.049291851","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","유통전문판매업","07_22_17_P","4050000","4050000-113-2026-00006","2026-01-23","","01","영업/정상","01","영업","","","","","","30.00","448-120","경기도 용인시 수지구 동천동 942-4","경기도 용인시 수지구 동천로99번길 12, 1층 일부호 (동천동)","16823","주식회사 에스엔식품","2026-01-23 11:52:11","I","2026-01-25 00:20:02","유통전문판매업","208095.064682625","426134.48145729","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"7","유통전문판매업","07_22_17_P","3740000","3740000-113-2026-00006","2026-01-23","","01","영업/정상","01","영업","","","","","","9.00","440-838","경기도 수원시 장안구 정자동 381-30 한샘감리교회","경기도 수원시 장안구 정자로144번길 38, 1층 (정자동)","16339","달래리","2026-01-23 10:41:33","I","2026-01-25 00:20:02","유통전문판매업","199315.134854244","422267.613832112","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","9","","","",
"8","유통전문판매업","07_22_17_P","4000000","4000000-113-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","0.00","447-716","경기도 오산시 원동 807 동부삼환아파트 114동 403호","경기도 오산시 경기대로 99-15, 114동 403호 (원동, 동부삼환아파트)","18146","유니유통","2026-01-23 11:07:40","I","2026-01-25 00:20:02","유통전문판매업","206228.849252782","403453.801580061","유통전문판매업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"9","유통전문판매업","07_22_17_P","4500000","4500000-113-2026-00002","2026-01-23","","01","영업/정상","01","영업","","","","","","10.00","314-050","충청남도 공주시 중동 147-203","충청남도 공주시 먹자3길 1, 3층 302호 (중동)","32547","농업회사법인주식회사문공","2026-01-23 15:03:46","I","2026-01-25 00:20:02","유통전문판매업","211033.976260139","328188.532097952","유통전문판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","10","","","",
"10","유통전문판매업","07_22_17_P","3040000","3040000-113-2026-00003","2026-01-23","","01","영업/정상","01","영업","","","","","","3.30","143-817","서울특별시 광진구 구의동 52-18 선화빌라","서울특별시 광진구 자양로43길 40, B01호 (구의동, 선화빌라)","04954","비타클린","2026-01-23 13:50:28","I","2026-01-25 00:20:02","유통전문판매업","207930.155636374","450016.471010715","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
