"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","단란주점영업","07_23_01_P","3910000","3910029-103-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","109.70","459-821","경기도 평택시 신장동 227-5","경기도 평택시 탄현로 287-1, 1층 (신장동)","17761","유락라이브","2026-01-23 16:40:48","I","2026-01-25 00:20:02","단란주점","204818.053498166","397396.035661423","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","109.7","","","",
"2","단란주점영업","07_23_01_P","3210000","3210000-103-2009-00001","2009-04-30","","03","폐업","02","폐업","2026-01-23","","","","","105.99","137-856","서울특별시 서초구 서초동 1307-18 6층","서울특별시 서초구 강남대로65길 7 (서초동,6층)","06614","주궁","2026-01-23 17:13:17","U","2026-01-25 02:40:00","단란주점","202169.782327398","444229.755530986","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","105.99","","","",
"3","단란주점영업","07_23_01_P","3740000","3750000-103-1994-00006","1994-07-21","","01","영업/정상","01","영업","","","","","031 2519007","101.76","440-834","경기도 수원시 장안구 정자동 80-8","경기도 수원시 장안구 수성로 305, 지하1층 (정자동)","16313","추억의 노래주점","2026-01-23 11:50:16","U","2026-01-25 02:40:00","단란주점","200430.386621752","421073.852894892","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","101.76","","","",
"4","단란주점영업","07_23_01_P","3230000","3230000-103-1995-03240","1995-08-03","","01","영업/정상","01","영업","","","","","02 4120688","100.58","138-851","서울특별시 송파구 송파동 133-7 지하1층","서울특별시 송파구 백제고분로46길 8, 지하1층 (송파동)","05665","쉘브르","2026-01-23 13:55:59","U","2026-01-25 02:40:00","단란주점","209830.636972501","445137.04666265","단란주점","0","0","주택가주변","기타","상수도전용","","","","","","","","","N","100.58","","","",
"5","단란주점영업","07_23_01_P","3060000","3060000-103-1997-06940","1997-07-14","","01","영업/정상","01","영업","","","","","","71.91","131-851","서울특별시 중랑구 묵동 237-127","서울특별시 중랑구 중랑역로 211, 지층 (묵동)","02004","별","2026-01-23 16:16:20","U","2026-01-25 02:40:00","단란주점","206597.738920024","456665.346626949","단란주점","1","2","기타","기타","상수도전용","0","0","0","0","0","","0","0","Y","71.91","","","",
"6","단란주점영업","07_23_01_P","3660000","3660000-103-2001-00017","2001-12-22","","01","영업/정상","01","영업","","","","","","165.61","302-831","대전광역시 서구 둔산동 1440 지하1층","대전광역시 서구 둔산중로40번길 28 (둔산동,지하1층)","35241","니콜","2026-01-23 17:45:12","U","2026-01-25 02:40:00","단란주점","234781.498237024","316641.174244817","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","165.61","","","",
"7","단란주점영업","07_23_01_P","3660000","3660000-103-2007-00002","2007-08-28","","01","영업/정상","01","영업","","","","","042 472 5958","115.33","302-828","대전광역시 서구 둔산동 1001 2층","대전광역시 서구 둔산로31번길 72 (둔산동,2층)","35229","브라보노래주점","2026-01-23 17:48:12","U","2026-01-25 02:40:00","단란주점","233840.171456465","317180.950087047","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","115.33","","","",
"8","단란주점영업","07_23_01_P","5370000","5370000-103-2024-00003","2024-03-26","","01","영업/정상","01","영업","","","","","","84.36","656-935","경상남도 거제시 고현동 961-60 리베라상가빌딩","경상남도 거제시 거제중앙로 1914, 리베라상가빌딩 3층 301(일부)호 (고현동)","53251","지가라오케(GKARAOKE)","2026-01-23 13:29:19","U","2026-01-25 02:40:00","단란주점","348307.131952137","155655.055415736","단란주점","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","84.36","","","",
"9","단란주점영업","07_23_01_P","3460000","3460000-103-2003-00016","2003-10-02","","01","영업/정상","01","영업","","","","","7655488","125.94","706-801","대구광역시 수성구 두산동 687","대구광역시 수성구 수성못2길 9 (두산동)","42203","맥스","2026-01-23 10:56:47","U","2026-01-25 02:40:00","단란주점","346564.919021363","259579.79681988","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","125.94","","","",
"10","단란주점영업","07_23_01_P","3300000","3300000-103-1996-01170","1996-06-12","","01","영업/정상","01","영업","","","","","","100.60","607-822","부산광역시 동래구 수안동 4-10","부산광역시 동래구 명륜로63번길 16 (수안동)","47818","조은","2026-01-23 15:38:06","U","2026-01-25 02:40:00","단란주점","389688.227230162","190950.05775938","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","100.6","","","",
"11","단란주점영업","07_23_01_P","5710000","5725000-103-2008-02002","2008-05-06","","01","영업/정상","01","영업","","","","","043 288 7171","86.11","361-160","충청북도 청주시 서원구 산남동 657 (3층) 301호","충청북도 청주시 서원구 산남로 64, 3층 301호 (산남동)","28625","칸단란주점","2026-01-23 10:54:22","U","2026-01-25 02:40:00","단란주점","241707.165902432","345681.149699783","단란주점","","","","","상수도전용","","","","","","","","","Y","86.11","","","",
