"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"1","건설폐기물처리업","09_30_05_P","4600000","460000092199900001","2022-11-15","","01","영업/정상","BBBB","영업","","","","","6420101","","350-883","충청남도 홍성군 은하면 장척리 1-4","충청남도 홍성군 은하면 천광로 856-29","350-883","더블유아이케이 주식회사","2026-01-23 14:57:30","U","2026-01-25 02:40:00","","165088.219105761","333215.234515223","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","57240","",
"2","건설폐기물처리업","09_30_05_P","4490000","449000092200000003","2000-07-18","","03","폐업","2","폐업","2008-11-20","","","","5830253","","","충청남도 천안시 서북구 신당동 71-1","충청남도 천안시 서북구 천일고2길 31 (신당동)","31081","중부환경㈜","2026-01-23 09:21:30","U","2026-01-25 02:40:00","","214240.875651423","373246.51700488","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","건설폐기물","0","",
"3","건설폐기물처리업","09_30_05_P","4050000","405000092199700003","2022-12-29","","01","영업/정상","BBBB","영업","","","","","0313231004","","449-884","경기도 용인시 처인구 남사읍 통삼리 619-2 외4필지(619-2,14,10,20)","경기도 용인시 처인구 남사읍 경기동로 52","17118","(주)지솔알이에이치","2026-01-23 14:32:11","U","2026-01-25 02:40:00","","211781.539806266","404910.194991874","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"4","건설폐기물처리업","09_30_05_P","4910000","491000092200600002","2026-01-23","","01","영업/정상","BBBB","영업","","","","","0618648101","","529-805","전라남도 장흥군 장흥읍 금산리 841-6","전라남도 장흥군 장흥읍 흥성로 453-5","529-805","주식회사 일등","2026-01-23 14:11:19","U","2026-01-25 02:40:00","","192866.585134936","134122.460586175","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"5","건설폐기물처리업","09_30_05_P","4910000","491000092200600001","2006-11-22","","03","폐업","2","폐업","2011-11-07","","","","0618648101","","529-805","전라남도 장흥군 장흥읍 금산리 841-6","전라남도 장흥군 장흥읍 흥성로 453-5","529-805","주식회사 일등","2026-01-23 13:09:15","U","2026-01-25 02:40:00","","192866.585134936","134122.460586175","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","12120","",
"6","건설폐기물처리업","09_30_05_P","4840000","484000092201600001","2016-01-25","","01","영업/정상","BBBB","영업","","","","","061-772-8700","","","전라남도 광양시 광양읍 죽림리 520-7","전라남도 광양시 광양읍 직동1길 24","57731","(주)대원이엔티","2026-01-23 09:09:11","U","2026-01-25 02:40:00","","258467.001153846","163395.926714031","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"7","건설폐기물처리업","09_30_05_P","5190000","519000092201800001","2018-05-25","","01","영업/정상","BBBB","영업","","","","","0543713524","","","경상북도 청도군 청도읍 고수리 512-6","경상북도 청도군 청도읍 고수구길 61, 2층","38344","효원건설주식회사","2026-01-23 09:44:12","U","2026-01-25 02:40:00","","357563.348887432","239674.436406851","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"8","건설폐기물처리업","09_30_05_P","5050000","505000092201200003","2012-12-13","","01","영업/정상","BBBB","영업","","","","","0547456961","","780-843","경상북도 경주시 동천동 769-4","경상북도 경주시 양정로 271, 3층 (동천동)","38098","태양석면철거(주)","2026-01-23 13:38:28","U","2026-01-25 02:40:00","","400828.678710325","264144.258624724","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"9","건설폐기물처리업","09_30_05_P","4920000","492000092201400001","2015-07-20","","01","영업/정상","BBBB","영업","","","","","432-9000","","","전라남도 강진군 성전면 금당리 613-3","전라남도 강진군 성전면 송계로 517-7","59206","(주)신환경","2026-01-23 13:12:13","U","2026-01-25 02:40:00","","174810.486206305","129411.571455106","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","17497","",
"10","건설폐기물처리업","09_30_05_P","4990000","499000092200800001","2008-06-02","","01","영업/정상","BBBB","영업","","","","","0615553696","","537-800","전라남도 완도군 완도읍 가용리 924-1","전라남도 완도군 완도읍 청해진동로 326","59109","(유)원찬환경","2026-01-23 14:09:12","U","2026-01-25 02:40:00","","174765.27717482","92552.3840008132","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
