"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","수질오염원설치시설(기타)","09_30_12_P","3940000","394000025202600001","2026-01-23","","01","영업/정상","11","영업","","","","","0319770502","","","경기도 고양시 일산서구 일산동 2148 e편한세상 일산 어반스카이","경기도 고양시 일산서구 고양대로 666, 2층 c206,c207호 (일산동, e편한세상 일산 어반스카이)","10353","으뜸50안경 일산역점","2026-01-23 09:42:51","I","2026-01-25 00:20:02","","","","기타수질오염원관리","","","","","0","","0","3405300957",
"2","수질오염원설치시설(기타)","09_30_12_P","3990000","399000025202600001","2026-01-23","","01","영업/정상","11","영업","","","","","","","","경기도 남양주시 다산동 6124","경기도 남양주시 다산중앙로82번길 74 (다산동)","","(주)남양주모터스","2026-01-23 15:36:24","I","2026-01-25 00:20:02","","214311.162776232","457512.967657356","기타수질오염원관리","","","","","0","","0","",
"3","수질오염원설치시설(기타)","09_30_12_P","3830000","383000025202600001","2026-01-23","","01","영업/정상","11","영업","","","","","0314275051","","","경기도 안양시 동안구 호계동 896-10 ,21","경기도 안양시 동안구 경수대로797번길 31 (호계동,,21)","","(주)케이투모터스","2026-01-23 16:45:17","I","2026-01-25 00:20:02","","194969.058973621","431993.895330995","기타수질오염원관리","","","","","0","","0","1388125741",
"4","수질오염원설치시설(기타)","09_30_12_P","3710000","371000025200300063","1998-12-15","","04","취소/말소/만료/정지/중지","4","폐쇄","2026-01-21","","","","052 2366139","","","울산광역시 동구 전하동 544-51","울산광역시 동구 전하로 2 (전하동)","682-814","김용기내과의원","2026-01-23 10:12:25","U","2026-01-25 02:40:00","","420436.989365856","226348.009362376","기타수질오염원관리","","","","","0","","0","6209604119",
"5","수질오염원설치시설(기타)","09_30_12_P","3170000","317000025202100004","2021-03-23","","01","영업/정상","11","영업","","","","","02-802-3116","","","서울특별시 금천구 시흥동 856-25","서울특별시 금천구 독산로 135 (시흥동)","08622","안경산책","2026-01-23 16:48:23","U","2026-01-25 02:40:00","","191506.396738317","439695.13605954","기타수질오염원관리","","","","","0","","0","1190924872",
"6","수질오염원설치시설(기타)","09_30_12_P","3990000","399000025200700024","2007-08-06","","04","취소/말소/만료/정지/중지","4","폐쇄","2026-01-23","","","","0315767575","","","경기도 남양주시 와부읍 덕소리 476-3","경기도 남양주시 와부읍 덕소로97번길 9","472-901","튼튼소아청소년과","2026-01-23 16:09:35","U","2026-01-25 02:40:00","","218769.421824313","453780.08409175","기타수질오염원관리","","","","","0","","0","1329606279",
"7","수질오염원설치시설(기타)","09_30_12_P","3990000","399000025200700008","2007-04-09","","04","취소/말소/만료/정지/중지","4","폐쇄","2026-01-23","","","","031 5772873","","","경기도 남양주시 와부읍 덕소리 144 은산빌딩301호","경기도 남양주시 와부읍 덕소로97번길 61 (은산빌딩301호)","","두번째 행복한치과의원","2026-01-23 16:32:14","U","2026-01-25 02:40:00","","219207.837287094","454002.824533719","기타수질오염원관리","","","","","0","","0","1099058232",
"8","수질오염원설치시설(기타)","09_30_12_P","3110000","311000025200100007","2001-05-02","","01","영업/정상","11","영업","","","","","02-308-5483","","","서울특별시 은평구 수색동 414-1 시내버스 공영차고지","서울특별시 은평구 수색로24길 19, 시내버스 공영차고지 (수색동)","03486","은평권역공영차고지","2026-01-23 13:46:19","U","2026-01-25 02:40:00","","189809.444580946","454489.310071304","기타수질오염원관리","","","","","0","","0","1058168527",
"9","수질오염원설치시설(기타)","09_30_12_P","3080000","308000025202100001","2021-01-20","","01","영업/정상","11","영업","","","","","02-984-0777","","","서울특별시 강북구 미아동 304-8 서광빌딩","서울특별시 강북구 도봉로 177, 서광빌딩 (미아동)","01170","뉴그랑프리안경원","2026-01-23 17:25:13","U","2026-01-25 02:40:00","","202269.364853819","458034.186453469","기타수질오염원관리","","","","","0","","0","2100690057",
"10","수질오염원설치시설(기타)","09_30_12_P","3830000","383000025200400255","2005-01-24","","04","취소/말소/만료/정지/중지","4","폐쇄","2025-12-22","","","","0314275051","","","경기도 안양시 동안구 호계동 896-10 ,21","경기도 안양시 동안구 경수대로797번길 31 (호계동,,21)","","(주)케이투모터스","2026-01-23 08:51:38","U","2026-01-25 02:40:00","","194969.058973621","431993.895330995","기타수질오염원관리","","","","","0","","0","1388125741",
"11","수질오염원설치시설(기타)","09_30_12_P","3500000","350000025202100001","2021-04-01","","01","영업/정상","11","영업","","","","","","","","인천광역시 동구 송현동 74-16 솔빛빌딩","인천광역시 동구 송현로 14, 솔빛빌딩 (송현동)","22548","가까운 안경원","2026-01-23 17:43:51","U","2026-01-25 02:40:00","","167599.937440601","441765.418241673","기타수질오염원관리","","","","","0","","0","1740703632",
"12","수질오염원설치시설(기타)","09_30_12_P","5400000","540000025201400007","2014-08-04","","04","취소/말소/만료/정지/중지","4","폐쇄","2026-01-23","","","","0552651134","","","경상남도 함안군 법수면 황사리 711-1","경상남도 함안군 법수면 황사공단로 30 ((주)삼화 내)","637-832","(주)중원이엔아이","2026-01-23 16:00:03","U","2026-01-25 02:40:00","","320114.304783931","204669.138677742","기타수질오염원관리","","","","","0","","0","6108196942",
"13","수질오염원설치시설(기타)","09_30_12_P","3200000","320000025202100025","2021-05-24","","01","영업/정상","11","영업","","","","","028851649","","","서울특별시 관악구 신림동 1516-3","서울특별시 관악구 신림로 105, 1층 (신림동)","08813","안경이야기 렌즈미 서울대 벤처타운점","2026-01-23 17:54:37","U","2026-01-25 02:40:00","","194409.766327576","440926.897889433","기타수질오염원관리","","","","","0","","0","1191843176",
"14","수질오염원설치시설(기타)","09_30_12_P","4000000","400000025201800003","2018-07-10","","04","취소/말소/만료/정지/중지","4","폐쇄","2026-01-22","","","","031-375-6161","","","경기도 오산시 원동 513-3","경기도 오산시 남부대로 342 (원동)","18145","한국타이어오산총판","2026-01-23 17:41:46","U","2026-01-25 02:40:00","","206453.953745003","403748.709139467","기타수질오염원관리","","","","","0","","0","1353062541",
"15","수질오염원설치시설(기타)","09_30_12_P","3020000","302000025202100035","2021-07-03","","03","폐업","2","폐업","2026-01-23","","","","02-518-6006","","","서울특별시 용산구 한남동 829 나인원 한남","서울특별시 용산구 한남대로 91, 107동 113호 (한남동, 나인원 한남)","04401","파피루스 안경원","2026-01-23 16:50:48","U","2026-01-25 02:40:00","","200231.538140657","448226.481350525","기타수질오염원관리","","","","","0","","0","1103673584",
"16","수질오염원설치시설(기타)","09_30_12_P","4490000","449000025202100083","2021-06-21","","01","영업/정상","11","영업","","","","","0415759009","","","충청남도 천안시 동남구 신방동 49-20 지성빌딩","충청남도 천안시 동남구 서부대로 229, 지성빌딩 1층 (신방동)","31176","안경매니져 신방점","2026-01-23 10:47:38","U","2026-01-25 02:40:00","","211394.344902279","365269.068023632","기타수질오염원관리","","","","","0","","0","1042436214",
"17","수질오염원설치시설(기타)","09_30_12_P","4520000","452000025202000006","2020-12-03","","01","영업/정상","11","영업","","","","","","","","충청남도 아산시 인주면 공세리 726","","","명품새우","2026-01-23 17:47:48","U","2026-01-25 02:40:00","","191585.780704562","375379.977393117","기타수질오염원관리","","","","","0","","0","8529801260",
"18","수질오염원설치시설(기타)","09_30_12_P","4490000","449000025202100084","2021-06-21","","01","영업/정상","11","영업","","","","","0415749339","","","충청남도 천안시 서북구 쌍용동 191 E 마트","충청남도 천안시 서북구 충무로 187, E 마트 2층 (쌍용동)","31180","안경매니져 이마트점","2026-01-23 10:48:46","U","2026-01-25 02:40:00","","211285.641300884","366082.226799409","기타수질오염원관리","","","","","0","","0","7933000787",
"19","수질오염원설치시설(기타)","09_30_12_P","3990000","399000025202100092","2021-10-14","","01","영업/정상","11","영업","","","","","","","","경기도 남양주시 오남읍 오남리 560","경기도 남양주시 오남읍 양지로 49","12048","(주)탑모터스","2026-01-23 16:55:56","U","2026-01-25 02:40:00","","218149.615393297","464597.641709488","기타수질오염원관리","","","","","0","","0","8278602353",
