"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"1","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202600007","2026-01-23","","01","영업/정상","11","영업","","","","","","","","전북특별자치도 전주시 덕진구 인후동1가 783-7","전북특별자치도 전주시 덕진구 팽나무5길 8, 1층 (인후동1가)","55008","세븐일레븐 전주인후거성점","2026-01-23 16:02:54","I","2026-01-25 00:20:02","","213986.822756736","259577.620613809","지정","전북특별자치도 전주시 덕진구 인후동1가 783-7","20260123","20260123","관급봉투",
"2","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202600008","2026-01-23","","01","영업/정상","11","영업","","","","","","","","전북특별자치도 전주시 덕진구 덕진동2가 690 사랑으로부영아파트 제상가동 101호","전북특별자치도 전주시 덕진구 경동로 18, 사랑으로부영아파트 제상가동 1층 101호 (덕진동2가)","54891","세븐일레븐 전주하가부영점","2026-01-23 16:04:28","I","2026-01-25 00:20:02","","209714.951374925","260218.796963691","지정","전북특별자치도 전주시 덕진구 덕진동2가 690 사랑으로부영아파트 제상가동 101호","20260123","20260123","관급봉투",
"3","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202600009","2026-01-23","","01","영업/정상","11","영업","","","","","","","","전북특별자치도 전주시 덕진구 덕진동1가 1263-18","전북특별자치도 전주시 덕진구 명륜3길 17, 1층.지하1층 (덕진동1가)","54898","씨유 전북대타운점","2026-01-23 16:01:28","I","2026-01-25 00:20:02","","211472.263051371","260300.595524096","지정","전북특별자치도 전주시 덕진구 덕진동1가 1263-18","20260123","20260123","관급봉투",
"4","쓰레기종량제봉투판매업","09_30_13_P","4201000","420100014202600002","2026-01-23","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 강릉시 홍제동 1028-3","강원특별자치도 강릉시 선수촌로63번길 6-3, 1층 103호 (홍제동)","25522","우리동네 국민상회 강릉유천점","2026-01-23 13:12:34","I","2026-01-25 00:20:02","","364689.883913103","474350.248236372","지정","강원특별자치도 강릉시 홍제동 1028-3","20260123","20260123","관급봉투",
"5","쓰레기종량제봉투판매업","09_30_13_P","4201000","420100014202600003","2026-01-23","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 강릉시 교동 1800-4","강원특별자치도 강릉시 경포로 20-1, 1층 (교동)","25508","씨유(CU)뉴강릉교동택지점","2026-01-23 13:17:15","I","2026-01-25 00:20:02","","365267.278946245","476001.583035206","지정","강원특별자치도 강릉시 교동 1800-4","20260123","20260123","관급봉투",
"6","쓰레기종량제봉투판매업","09_30_13_P","5190000","519000014202600001","2026-01-23","","01","영업/정상","11","영업","","","","","","","","경상북도 청도군 화양읍 범곡리 141-1","경상북도 청도군 화양읍 청화로 51","38329","지에스(GS)25 청도 청화로점","2026-01-23 17:22:57","I","2026-01-25 00:20:02","","356903.740334548","240132.095468279","지정","경상북도 청도군 화양읍 범곡리 141-1","20260123","20260123","관급봉투",
"7","쓰레기종량제봉투판매업","09_30_13_P","3130000","313000014202600003","2026-01-23","","01","영업/정상","11","영업","","","","","1577-8007","","","서울특별시 마포구 연남동 259-16","서울특별시 마포구 동교로 243 (연남동)","03984","씨유 연남아지트점","2026-01-23 15:16:40","I","2026-01-25 00:20:02","","193227.15380595","451049.724992389","지정","서울특별시 마포구 연남동 259-16","20260123","20260114","관급봉투",
"8","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202600006","2026-01-23","","01","영업/정상","11","영업","","","","","","","","충청남도 천안시 동남구 구성동 304-3","충청남도 천안시 동남구 충절로 296, 4층 401호 (구성동)","31194","우리끼리 스포츠마을 천안구성점","2026-01-23 15:32:24","I","2026-01-25 00:20:02","","214294.08224142","365715.983630713","지정","충청남도 천안시 동남구 구성동 304-3","20260123","20260123","관급봉투",
"9","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014202600007","2026-01-23","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 관설동 1677-4","강원특별자치도 원주시 라옹정길 53, 1층 (관설동)","26471","씨유원주관설중앙점","2026-01-23 09:50:49","I","2026-01-25 00:20:02","","285161.396270417","424693.482261563","지정","강원특별자치도 원주시 관설동 1677-4","20260123","20260123","관급봉투",
"10","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014202600008","2026-01-23","","01","영업/정상","11","영업","","","","","07082284710","","","강원특별자치도 원주시 무실동 643-9","강원특별자치도 원주시 만대로 200-7, 2층 (무실동)","26385","원주한살림소비자생활협동조합","2026-01-23 10:28:48","I","2026-01-25 00:20:02","","281849.610084443","425861.073232105","지정","강원특별자치도 원주시 무실동 643-9","20260123","20260123","관급봉투",
"11","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014202100013","2021-03-22","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 단계동 111-4 동보렉스3차아파트","강원특별자치도 원주시 원문로 156-2, 동보렉스3차아파트 상가동 제4호, 제5호 (단계동)","26408","씨유 단계동보푸른점","2026-01-23 12:16:28","U","2026-01-25 02:40:00","","282590.931915291","428679.055020517","지정","강원특별자치도 원주시 단계동 111-4 상가동 1층 제4호, 제5호","20210322","20210319","관급봉투",
"12","쓰레기종량제봉투판매업","09_30_13_P","4580000","458000014202200002","2022-02-16","","01","영업/정상","11","영업","","","","","0419560096","","","충청남도 서천군 장항읍 창선2리 187-3 4동 1호","충청남도 서천군 장항읍 장서로 73, 4동 1호","33672","(주)현우산업개발","2026-01-23 13:41:05","U","2026-01-25 02:40:00","","172724.511508595","279379.208512698","지정","충청남도 서천군 장항읍 창선2리 187-3","20220209","20220209","관급봉투",
"13","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202400077","2024-06-11","","03","폐업","2","폐업","2026-01-23","","","","","","","전북특별자치도 전주시 덕진구 인후동1가 783-7","전북특별자치도 전주시 덕진구 팽나무5길 8, 1층 (인후동1가)","55008","세븐일레븐 전주인후거성점","2026-01-23 15:29:43","U","2026-01-25 02:40:00","","213986.822756736","259577.620613809","지정","전북특별자치도 전주시 덕진구 인후동1가 783-7","20240611","20240611","관급봉투",
"14","쓰레기종량제봉투판매업","09_30_13_P","3130000","313000014202100120","2021-09-03","","01","영업/정상","0","","","","","","02-717-3429","","","서울특별시 마포구 염리동 9-89","서울특별시 마포구 숭문16길 21 (염리동)","04113","햇빛촌 고려마트","2026-01-23 14:55:20","U","2026-01-25 02:40:00","","195311.667898098","450405.509388288","지정","서울특별시 마포구 염리동 9-89","20210801","20210801","관급봉투",
"15","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202300132","2023-08-11","","03","폐업","2","폐업","2026-01-23","","","","","","","전북특별자치도 전주시 덕진구 덕진동2가 690 사랑으로부영아파트","전북특별자치도 전주시 덕진구 경동로 18, 사랑으로부영아파트 상가동 101호 (덕진동2가)","54891","세븐일레븐 전주하가부영점","2026-01-23 15:53:27","U","2026-01-25 02:40:00","","209714.951374925","260218.796963691","지정","전북특별자치도 전주시 덕진구 덕진동2가 690 사랑으로부영아파트","20230814","20230811","관급봉투",
"16","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202100017","2021-02-19","","03","폐업","2","폐업","2026-01-23","","","","","","","전북특별자치도 전주시 덕진구 덕진동1가 1263-18","전북특별자치도 전주시 덕진구 명륜3길 17, 지상1층, 지하1층 (덕진동1가)","54898","씨유전북대타운점","2026-01-23 15:58:58","U","2026-01-25 02:40:00","","211472.263051371","260300.595524096","지정","전북특별자치도 전주시 덕진구 덕진동1가 1263-18","20210219","20210219","관급봉투",
