"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","체육도장업","10_41_01_P","3530000","CDFH3301022026000003","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","인천광역시 남동구 만수동 1073-2 3층","인천광역시 남동구 인주대로 878, 3층 (만수동)","21591","이볼브 태권도","2026-01-23 13:26:31","I","2026-01-25 00:20:02","태권도","176468.594356724","438458.70589816","체육도장업","사립","","1","0","0","0","","",
"2","체육도장업","10_41_01_P","3820000","CDFH3301022026000001","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 호원동 309-12 해룡빌딩","경기도 의정부시 호암로 243-11, 해룡빌딩 지층 (호원동)","11639","용인대경의유도관 호원점","2026-01-23 14:11:10","I","2026-01-25 00:20:02","유도","203855.124978075","468813.024163995","체육도장업","사립","","0","0","0","0","","",
"3","체육도장업","10_41_01_P","4830000","CDFH3301022007000001","2007-01-22","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 3 빛가람중흥에스-클래스리버티","전라남도 나주시 한빛로 125, 상가동 201호 (빛가람동, 빛가람중흥에스-클래스리버티)","58321","한빛태권도장","2026-01-23 18:06:16","U","2026-01-25 02:40:00","태권도","180294.237239466","170338.947029379","체육도장업","사립","","0","0","348","0","","",
"4","체육도장업","10_41_01_P","3100000","CDFH3301022024000003","2024-07-23","","03","폐업","03","폐업","2026-01-23","","","","","","","서울특별시 노원구 상계동 767-6 상계주공아파트(1단지)","서울특별시 노원구 덕릉로 459-47, 상계주공아파트(1단지) 상가동 401-2호 (상계동)","01765","한국체대 당현 태권도장","2026-01-23 12:47:26","U","2026-01-25 02:40:00","태권도","205184.859621353","460543.29200918","체육도장업","사립","","1","0","0","0","","",
"5","체육도장업","10_41_01_P","3210000","CDFH3301022001000008","2001-12-14","","03","폐업","03","폐업","2026-01-23","","","","577-4777","","137-898","서울특별시 서초구 양재동 377-2 3층","서울특별시 서초구 동산로 62 (양재동,3층)","","청우태권도장 서울본관","2026-01-23 10:44:54","U","2026-01-25 02:40:00","태권도","203964.834475805","441063.393763693","체육도장업","사립","","0","0","0","0","","",
"6","체육도장업","10_41_01_P","3940000","CDFH3301022023000010","2023-04-06","","03","폐업","03","폐업","2026-01-22","","","","","","","경기도 고양시 일산서구 탄현동 139-36","경기도 고양시 일산서구 일현로 119, 5층 (탄현동)","10241","엘리트 복싱 Gym","2026-01-23 11:22:24","U","2026-01-25 02:40:00","권투","179256.95781863","466131.688593084","체육도장업","사립","","1","0","0","0","","",
"7","체육도장업","10_41_01_P","4610000","CDFH3301022024000001","2024-05-13","","01","영업/정상","13","영업중","","","","","","","","충청남도 예산군 삽교읍 목리 866","충청남도 예산군 삽교읍 예학로 93, 4층(403호, 404호)","32416","미르태권도","2026-01-23 16:06:35","U","2026-01-25 02:40:00","태권도","171147.871707683","351615.791436429","체육도장업","사립","","0","0","223.94","0","","",
"8","체육도장업","10_41_01_P","3230000","CDFH3301022012000013","2012-11-19","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 송파구 잠실동 192-10 혜성빌딩 지하1층","서울특별시 송파구 올림픽로10길 16, 혜성빌딩 지하1층 (잠실동)","05561","하나복싱클럽","2026-01-23 14:51:38","U","2026-01-25 02:40:00","권투","207099.557340127","445332.816317269","체육도장업","사립","","1","0","1894.35","0","","",
"9","체육도장업","10_41_01_P","3830000","CDFH3301022025000008","2025-12-18","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 동안구 호계동 711-1 대영골든타워","경기도 안양시 동안구 엘에스로 45, 대영골든타워 201호 (호계동)","14121","에스지복싱클럽 호계점","2026-01-23 16:35:35","U","2026-01-25 02:40:00","권투","195923.349853058","429483.736171171","체육도장업","사립","","1","0","13295.58","0","","",
"10","체육도장업","10_41_01_P","4050000","CDFH3301022024000008","2024-02-15","","03","폐업","03","폐업","2026-01-23","","","","031-266-2672","","","경기도 용인시 기흥구 영덕동 985-1 이씨티","경기도 용인시 기흥구 흥덕2로87번길 18, 이씨티 A동 308호 (영덕동)","16954","용인대 무림 합기도","2026-01-23 16:56:13","U","2026-01-25 02:40:00","합기도","206306.301931615","419313.955217649","체육도장업","사립","","1","0","0","0","","",
"11","체육도장업","10_41_01_P","3470000","CDFH3301021999000006","1999-10-13","","01","영업/정상","13","영업중","","","","","","","","대구광역시 달서구 장기동 538-1","대구광역시 달서구 장기로 242-7, 4층 (장기동)","42689","미소나무 새싹관 태권도장","2026-01-23 09:51:49","U","2026-01-25 02:40:00","태권도","338469.374336505","261506.168148485","체육도장업","사립","","0","0","0","0","","",
"12","체육도장업","10_41_01_P","5680000","CDFH3301022025000002","2025-03-11","","01","영업/정상","13","영업중","","","","","041-356-6178","","","충청남도 당진시 원당동 1190","충청남도 당진시 밤절로 42-47, 1층 (원당동)","31771","푸르미르 태권도장","2026-01-23 09:23:22","U","2026-01-25 02:40:00","태권도","167895.047287566","377819.349320008","체육도장업","사립","","0","0","398.93","0","","",
"13","체육도장업","10_41_01_P","5690000","CDFH3301022014000006","2014-08-25","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 아름동 1277 범지기마을10단지","세종특별자치시 달빛로 211, 203~205호 (아름동, 범지기마을10단지)","30100","용인대 아름태권도","2026-01-23 14:32:16","U","2026-01-25 02:40:00","태권도","222333.315370024","335182.364080833","체육도장업","사립","","1","0","0","38","","",
"14","체육도장업","10_41_01_P","5690000","CDFH3301022015000001","2015-01-28","","01","영업/정상","13","영업중","","","","","868-1171","","339-006","세종특별자치시 도담동 381","세종특별자치시 보듬2로 43, 2층 201,202,203호 (도담동, 현대힐스테이트상가동)","30098","도담 꿈의 태권도장","2026-01-23 15:45:17","U","2026-01-25 02:40:00","태권도","223665.604934094","334628.992021268","체육도장업","사립","","1","0","0","0","","",
"15","체육도장업","10_41_01_P","4080000","CDFH3301022023000004","2023-11-02","","01","영업/정상","13","영업중","","","","","","","","경기도 안성시 공도읍 진사리 22-61 301호","경기도 안성시 공도읍 진사길 8, 301호","17564","라이노멀티짐","2026-01-23 13:41:17","U","2026-01-25 02:40:00","태권도","212196.798508818","387961.994797663","체육도장업","사립","","0","0","0","0","","",
