"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"1","담배소매업","11_43_02_P","3070000","2026307029905600003","2026-01-22","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 성북구 동소문동6가 117-2 보미리즌빌 1층 102호","서울특별시 성북구 동소문로 89, 보미리즌빌 1층 102호 (동소문동6가)","02830","씨유(CU)성신리더스점","2026-01-23 10:18:38","I","2026-01-25 00:20:02","","201294.859107786","454483.588643704","20260122","제7조의3제2항에따른경우",
"2","담배소매업","11_43_02_P","3070000","2026307029905600004","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 성북구 동선동2가 154","서울특별시 성북구 보문로34길 88 (동선동2가)","02844","지에스(GS)25 성신여대점","2026-01-23 10:19:08","I","2026-01-25 00:20:02","","201710.195177256","454327.305512711","20260123","제7조의3제2항에따른경우",
"3","담배소매업","11_43_02_P","4641000","2026466100605600002","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","전북특별자치도 전주시 덕진구 인후동1가 783-7","전북특별자치도 전주시 덕진구 팽나무5길 8, 1층 (인후동1가)","55008","세븐일레븐 전주인후거성점","2026-01-23 14:38:22","I","2026-01-25 00:20:02","","213986.822756736","259577.620613809","20260123","제7조의3제2항에따른경우",
"4","담배소매업","11_43_02_P","5460000","2026546011605600001","2026-01-20","","01","영업/정상","0","정상영업","","","","","055-963-8858","","","경상남도 함양군 함양읍 교산리 394-3","경상남도 함양군 함양읍 함양로 1266","50032","한들농약농자재","2026-01-23 11:33:29","I","2026-01-25 00:20:02","","266457.144460454","225839.61860043","20260120","제7조의3제2항에따른경우",
"5","담배소매업","11_43_02_P","3190000","2026319027105600001","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 동작구 상도동 420 상도동대우유로카운티","서울특별시 동작구 양녕로 287, B301호 (상도동, 상도동대우유로카운티)","06919","상도행복드림","2026-01-23 16:35:32","I","2026-01-25 00:20:02","","195449.985639713","444799.736506501","20260123","제7조의3제2항에따른경우",
"6","담배소매업","11_43_02_P","4060000","2026406055205600004","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","경기도 파주시 금촌동 329-19","경기도 파주시 새꽃로 194, 1층 (금촌동)","10930","지에스(GS)25 금촌역점","2026-01-23 14:19:10","I","2026-01-25 00:20:02","","180076.768536812","473667.672484328","20260123","제7조의3제2항에따른경우",
"7","담배소매업","11_43_02_P","3780000","2026381005405600004","2026-01-23","","01","영업/정상","0","정상영업","","","","","02-3284-8120","","","경기도 성남시 분당구 서현동 251-1 야베스밸리","경기도 성남시 분당구 서현로 192, 야베스밸리 1층 101호 (서현동)","13590","(주)코리아세븐 서현3점","2026-01-23 11:28:13","I","2026-01-25 00:20:02","","210949.963980464","431751.498436362","20260123","제7조의3제2항에따른경우",
"8","담배소매업","11_43_02_P","3670000","2026367021505600011","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","대전광역시 유성구 구룡동 770-1","대전광역시 유성구 과학도움2길 2, 1층 (구룡동)","34002","둔곡부동산공인중개사사무소","2026-01-23 13:07:35","I","2026-01-25 00:20:02","","232421.897108996","327885.317061404","20260123","제7조의3제2항에따른경우",
"9","담배소매업","11_43_02_P","4691000","2026469107605600002","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","전북특별자치도 정읍시 농소동 1525 상가 1동 106호","전북특별자치도 정읍시 농흥1길 79, 1층 106호 (농소동, 정읍푸르지오더퍼스트)","56155","씨유 정읍푸르지오더퍼스트점","2026-01-23 14:18:21","I","2026-01-25 00:20:02","","","","20260123","제7조의3제2항에따른경우",
"10","담배소매업","11_43_02_P","4321000","2026432101205600001","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 양구군 양구읍 상리 523-16","강원특별자치도 양구군 양구읍 양록길 39, 1층","24527","씨유(CU) 양구센타점","2026-01-23 16:49:35","I","2026-01-25 00:20:02","","286422.470124648","512011.982409945","20260123","제7조의3제2항에따른경우",
"11","담배소매업","11_43_02_P","4721000","2026472105305600003","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","전북특별자치도 완주군 이서면 용서리 785 혁신금호어울림아파트","전북특별자치도 완주군 이서면 반교로 51, 상가동 202호 (혁신금호어울림아파트)","55365","행운마트","2026-01-23 17:35:38","I","2026-01-25 00:20:02","","202044.063786377","258484.32808343","20260123","제7조의3제2항에따른경우",
"12","담배소매업","11_43_02_P","4201000","2026420101905600002","2026-01-22","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 강릉시 교동 1889-8 신일빌딩","강원특별자치도 강릉시 정원로 48, 신일빌딩 1층 (교동)","25515","지에스25 교동온누리","2026-01-23 08:56:20","I","2026-01-25 00:20:02","","365292.662572265","474974.196092047","20260122","제7조의3제2항에따른경우",
"13","담배소매업","11_43_02_P","3310000","2026331011905600004","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 남구 용호동 516-10","부산광역시 남구 동명로152번길 93, 1층 (용호동)","48587","한솔마트 용호점","2026-01-23 09:54:41","I","2026-01-25 00:20:02","","392543.912546981","181589.698263333","20260123","제7조의3제2항에따른경우",
"14","담배소매업","11_43_02_P","3110000","2026311028105600004","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 은평구 불광동 480-42","서울특별시 은평구 통일로92길 18, 1층 (불광동)","03340","이마트24 은평불광동점","2026-01-23 16:58:24","I","2026-01-25 00:20:02","","193031.525284737","458114.18431746","20260123","제7조의3제2항에따른경우",
"15","담배소매업","11_43_02_P","3110000","2026311028105600005","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 은평구 대조동 196-25","서울특별시 은평구 연서로26길 11, 1층 (대조동)","03385","지에스25 연신내제일점","2026-01-23 16:58:38","I","2026-01-25 00:20:02","","192945.891991944","457172.764137396","20260123","제7조의3제2항에따른경우",
"16","담배소매업","11_43_02_P","3230000","2026323029105600002","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 송파구 신천동 20-4","서울특별시 송파구 올림픽로35길 45, 상가동 1층 130호 (신천동)","05508","잠실키움컨설팅","2026-01-23 14:20:04","I","2026-01-25 00:20:02","","209720.290631496","446244.350393389","20260123","제7조의3제2항에따른경우",
"17","담배소매업","11_43_02_P","5690000","2026569006605600001","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","세종특별자치시 조치원읍 신흥리 226 1층","세종특별자치시 조치원읍 이화로 6-1, 1층","30031","지에스25 조치원점","2026-01-23 09:50:33","I","2026-01-25 00:20:02","","225716.870612649","343751.728128292","20260123","제7조의3제2항에따른경우",
"18","담배소매업","11_43_02_P","3320000","2026332014205600001","2026-01-23","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 북구 만덕동 925-1 동원아파트","부산광역시 북구 덕천로234번길 7, 9동 101호 (만덕동, 동원아파트)","46604","금강마트","2026-01-23 11:00:44","I","2026-01-25 00:20:02","","384842.086014236","191944.55159748","20260123","제7조의3제2항에따른경우",
"19","담배소매업","11_43_02_P","4671000","2026467111105600002","2026-01-20","","01","영업/정상","0","정상영업","","","","","","","","전북특별자치도 군산시 소룡동 1588-4 두산인프라코어","전북특별자치도 군산시 동장산로 185, 두산인프라코어 (소룡동)","54006","씨제이프레시웨이 주식회사(CJFW(주)HD건설기계군산1공장점)","2026-01-23 11:10:18","I","2026-01-25 00:20:02","","162049.256090812","274237.884955552","20260120","제7조의3제3항에따른경우",
