"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","목욕장업","11_44_01_P","4580000","4580000-202-2026-00001","2026-01-23","","01","영업/정상","01","영업","","","","","","650.00","325-892","충청남도 서천군 서면 신합리 585-2","충청남도 서천군 서면 춘장대해수욕장로 15","33602","서면목욕탕","2026-01-23 13:35:02","I","2026-01-25 00:20:02","목욕장업 기타","159678.758453833","295024.159196797","목욕장업 기타","1","0","0","0","0","0","2","Y","","","","","0","0","Y",
"2","목욕장업","11_44_01_P","5360000","5360000-202-2011-00001","2011-01-05","","01","영업/정상","01","영업","","","","","055 354 2855","1560.25","627-914","경상남도 밀양시 상남면 예림리 1137","경상남도 밀양시 상남면 운하길 2","50451","예림사우나","2026-01-23 15:07:41","U","2026-01-25 02:40:00","목욕장업 기타","359474.883416787","219819.475354202","목욕장업 기타","5","1","0","0","1","0","2","N","","","","","0","0","N",
"3","목욕장업","11_44_01_P","5360000","5360000-202-2019-00001","2019-01-25","","01","영업/정상","01","영업","","","","","","1779.35","627-812","경상남도 밀양시 산외면 금천리 445-7","경상남도 밀양시 산외면 산외로 299","50411","금천스파","2026-01-23 15:26:31","U","2026-01-25 02:40:00","목욕장업 기타","363333.464542201","224084.970782305","목욕장업 기타","3","1","1","3","0","0","2","Y","","","","자가","2","1","Y",
"4","목욕장업","11_44_01_P","3490000","3490000-202-2014-00001","2014-08-08","","01","영업/정상","01","영업","","","","","032 7451106","392.31","400-340","인천광역시 중구 운서동 2850-8 2층","인천광역시 중구 영종해안남로321번길 190, 2층 (운서동)","22382","클럽올림푸스","2026-01-23 14:41:22","U","2026-01-25 02:40:00","공동탕업","151811.802443159","437653.715118863","공동탕업","0","0","2","2","0","0","4","Y","","","","","0","0","N",
"5","목욕장업","11_44_01_P","3940000","4100100-202-2007-00001","2007-12-26","","01","영업/정상","01","영업","","","","","031 923 2449","603.56","411-838","경기도 고양시 일산서구 주엽동 115-1 일산시대프라자 B101호","경기도 고양시 일산서구 주엽로 134, B101호 (주엽동, 일산시대프라자 )","10387","주엽 여성전용 24시 불한증막","2026-01-23 11:17:31","U","2026-01-25 02:40:00","공동탕업+찜질시설서비스영업","178593.884197265","463172.801035455","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","3","Y","","","","","0","0","Y",
"6","목욕장업","11_44_01_P","3180000","3180000-202-2009-00003","2009-07-30","","01","영업/정상","01","영업","","","","","02 8104361","248.90","150-857","서울특별시 영등포구 신길동 2001-3","서울특별시 영등포구 가마산로 538 (신길동)","07390","해군사우나","2026-01-23 09:56:32","U","2026-01-25 02:40:00","공동탕업","192457.220019131","444609.538124453","공동탕업","","","","","1","1","1","Y","","","","자가","","","N",
"7","목욕장업","11_44_01_P","3140000","3140000-202-2025-00001","2025-10-01","","01","영업/정상","01","영업","","","","","","142.63","158-849","서울특별시 양천구 신정동 118-1","서울특별시 양천구 신목로 88, 지하1층 (신정동)","08009","휘트니스 엠 오목교점","2026-01-23 13:41:09","U","2026-01-25 02:40:00","공동탕업+찜질시설서비스영업","188879.316199542","446688.929137687","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"8","목욕장업","11_44_01_P","3450000","3450000-202-2003-00008","2003-10-22","","01","영업/정상","01","영업","","","","","053 9500160","986.33","702-894","대구광역시 북구 서변동 1724-1","대구광역시 북구 호국로57길 6 (서변동)","41474","유니버시아드레포츠센터","2026-01-23 15:52:29","U","2026-01-25 02:40:00","공동탕업","344135.625386683","270911.45465356","공동탕업","5","2","3","4","0","0","0","N","","","","자가","0","0","N",
"9","목욕장업","11_44_01_P","3700000","3700000-202-2000-00003","2000-05-07","","03","폐업","02","폐업","2026-01-23","","","","052 271 9911","1247.55","680-840","울산광역시 남구 야음동 866-3 현대홈타운 상가동 60호","울산광역시 남구 대암로 69, 상가동 60호 (야음동,현대홈타운)","44733","현대헬스사우나","2026-01-23 17:01:18","U","2026-01-25 02:40:00","공동탕업","410714.093301743","228155.503271096","공동탕업","0","0","6","6","0","0","0","N","","","","","0","0","N",
"10","목욕장업","11_44_01_P","3010000","3010000-202-2018-00001","2018-10-19","","01","영업/정상","01","영업","","","","","","198.00","100-860","서울특별시 중구 충무로2가 11-1 지하2층","서울특별시 중구 명동8가길 27, 지하2층 (충무로2가)","04537","황금사우나 남탕","2026-01-23 20:15:11","U","2026-01-25 02:40:00","공동탕업","198737.553769773","451081.894647871","공동탕업","0","0","2","2","0","0","1","Y","","","","임대","0","0","Y",
"11","목욕장업","11_44_01_P","5360000","5360000-202-2014-00001","2014-02-03","","01","영업/정상","01","영업","","","","","055 353 2580","1404.97","627-805","경상남도 밀양시 삼문동 369-16","경상남도 밀양시 삼문강변로 272 (삼문동)","50434","킹콩사우나","2026-01-23 15:08:00","U","2026-01-25 02:40:00","공동탕업","358481.266785163","222199.584348733","공동탕업","4","1","0","0","0","0","12","Y","","","","","0","0","N",
