건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,,0,더존생활환경,건물위생관리업,,,,,180297.157757027,461229.923097764,2026-03-20 21:21:51,I,01,영업,0,2026-03-19 13:53:48,2026-03-19,10.00,410-811,경기도 고양시 일산동구 마두동 798-5 601(일부),N,0,3960100-206-2026-00004,3940000,"경기도 고양시 일산동구 중앙로 1192, 6층 601(일부)호 (마두동)",10414,01,영업/정상,건물위생관리업,,6,,6,
0,임대,0,(주)에스이젠,건물위생관리업,,,,,,,2026-03-20 21:51:54,I,01,영업,0,2026-03-19 10:00:19,2026-03-19,253.00,469-892,경기도 여주시 산북면 상품리 437-41,N,0,5700000-206-2026-00004,5700000,"경기도 여주시 산북면 해여림로 81-1, 2층",12603,01,영업/정상,건물위생관리업,,2,,2,
0,,0,고고,건물위생관리업,,,,,182710.478373604,431458.530005125,2026-03-20 21:51:54,I,01,영업,0,2026-03-19 16:41:54,2026-03-19,25.48,429-260,경기도 시흥시 광석동 481,N,0,4010000-206-2026-00003,4010000,"경기도 시흥시 시흥대로 500, 833호 (광석동)",14991,01,영업/정상,건물위생관리업,,,,,
0,,0,오투클린,건물위생관리업,,,,,201928.945940351,418162.947356053,2026-03-20 21:51:51,I,01,영업,0,2026-03-19 15:56:33,2026-03-19,.00,442-833,경기도 수원시 팔달구 인계동 1005-7,N,0,3770000-206-2026-00004,3740000,"경기도 수원시 팔달구 세지로152번길 25-21, 지하1층 (인계동)",16479,01,영업/정상,건물위생관리업,,,1,,1
4,임대,0,미래로청소전문센터,건물위생관리업,,,,,284210.981326249,424522.289654528,2026-03-20 21:21:54,I,01,영업,0,2026-03-19 14:21:20,2026-03-19,44.62,,강원특별자치도 원주시 판부면 서곡리 2017-6,N,0,4191000-206-2026-00014,4191000,"강원특별자치도 원주시 판부면 오성마을길 37-1, 1층 101호",26400,01,영업/정상,건물위생관리업,,1,,1,
3,임대,0,제우크린환경,건물위생관리업,,,,,177728.556903989,479020.805741943,2026-03-20 21:51:51,I,01,영업,0,2026-03-19 11:06:27,2026-03-19,124.00,413-843,경기도 파주시 탄현면 금승리 236-3 시골집,N,0,4060000-206-2026-00006,4060000,"경기도 파주시 탄현면 월롱산로 455, 1층 일부",10846,01,영업/정상,건물위생관리업,,1,,1,
0,,0,(사)한국노년복지연합,건물위생관리업,,,,,199243.719707907,451518.197727854,2026-03-20 03:03:03,U,01,영업,,2026-03-19 11:04:47,2013-04-03,42.90,100-846,서울특별시 중구 을지로3가 295-4 성진빌딩,N,,3010000-206-2013-00020,3010000,"서울특별시 중구 을지로14길 7, 성진빌딩 706호 (을지로3가)",04550,01,영업/정상,건물위생관리업,1661-9988,10,,10,
0,임대,0,이도프라퍼티스 주식회사,건물위생관리업,,,,,197739.803508714,451200.496953953,2026-03-20 03:03:03,U,01,영업,0,2026-03-19 09:42:41,2024-11-11,205.00,100-110,서울특별시 중구 서소문동 143,N,0,3010000-206-2024-00006,3010000,"서울특별시 중구 서소문로 124, 2층 (서소문동)",04514,01,영업/정상,건물위생관리업,02-6377-8788,6,,,
1,,0,클리닝오케이 샤코리아(SYA Korea),건물위생관리업,2026-03-19,,,,202910.608342897,460667.628202194,2026-03-20 03:03:03,U,02,폐업,0,2026-03-19 13:52:11,2022-10-20,21.43,132-866,서울특별시 도봉구 쌍문동 88-29 1층,N,0,3090000-206-2022-00004,3090000,"서울특별시 도봉구 노해로60길 67-3, 1층 (쌍문동)",01443,03,폐업,건물위생관리업,,,,,
0,임대,0,(주)비엠더코리아인,건물위생관리업,,,,,210068.709244252,445895.515259907,2026-03-20 03:03:03,U,01,영업,0,2026-03-19 15:38:50,2020-06-05,33.74,138-828,서울특별시 송파구 방이동 51-2 청호빌딩,N,6,3230000-206-2020-00014,3230000,"서울특별시 송파구 백제고분로 501, 청호빌딩 8층 803호 (방이동)",05545,01,영업/정상,건물위생관리업,,2,,2,
,,,주식회사 캠코에프엠씨,건물위생관리업,,,,,204334.603933554,419629.136551003,2026-03-20 03:03:03,U,01,영업,,2026-03-19 15:14:20,2018-12-18,791.15,443-380,경기도 수원시 영통구 원천동 567 한국자산관리공사 경기지역본부,N,,5610000-206-2018-00009,3740000,"경기도 수원시 영통구 월드컵로150번길 33, 한국자산관리공사 경기지역본부 2층 (원천동)",16500,01,영업/정상,건물위생관리업,031-361-2000,,,,
0,,0,주식회사 가온길,건물위생관리업,,,,,209683.660425214,426357.622193133,2026-03-20 03:03:03,U,01,영업,,2026-03-19 16:11:23,2015-03-25,41.38,463-870,경기도 성남시 분당구 구미동 186-1 분당팬텀광장,N,,3810000-206-2015-00010,3780000,"경기도 성남시 분당구 구미로9번길 7, 분당팬텀광장 2층 210호 (구미동)",13637,01,영업/정상,건물위생관리업,031-707-4681,0,0,0,0
