사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
한화커넥트 (주),1048118780,4종,사업시설 유지관리 서비스업,,197229.761422932,450418.159244379,2026-03-20 03:03:03,U,11,영업,147,13,대기배출업소관리,2026-03-19 10:19:03,2015-12-08,,,301000021201500056,3010000,,,,"서울특별시 중구 한강대로 405 (봉래동2가, 경부고속철도서울민자역사)",04509,,01,영업/정상,,,02-390-4096,사업시설 유지관리 서비스업
신양중학교,2078301618,5종,사회교육시설,2026-03-19,205538.941626715,447896.679897146,2026-03-20 03:03:03,U,4,폐쇄,365,24,대기배출업소관리,2026-03-19 12:59:30,2024-12-27,,서울특별시 광진구 자양동 57-8 신양중학교,304000021202400014,3040000,,365,,"서울특별시 광진구 자양강변길 73, 신양중학교 (자양동)",05087,,04,취소/말소/만료/정지/중지,,,02-461-1066,사회교육시설
(주)가우플랜,2148636076,4종,호텔업,,201530.475526772,446268.294338007,2026-03-20 03:03:03,U,11,영업,,,대기배출업소관리,2026-03-19 17:12:22,2016-03-22,,서울특별시 서초구 잠원동 6-1 더리버사이드호텔,321000021201600008,3210000,호텔업,,,"서울특별시 서초구 강남대로107길 6, 더리버사이드호텔 (잠원동)",06524,,01,영업/정상,,,02-6710-1821,호텔업
엘림모터,7955300292,5종,,,197275.68753984,433183.306696145,2026-03-20 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-03-19 09:52:10,2018-01-19,,경기도 안양시 동안구 관양동 824,383000021201800001,3830000,,300,,경기도 안양시 동안구 벌말로 142 (관양동),14057,,01,영업/정상,,,,
메리츠화재해상보험주식회사,1168103752,5종,금융업,,178247.813628725,443156.937096714,2026-03-20 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-03-19 09:48:51,2025-09-22,,경기도 부천시 원미구 상동 446-3 메리츠화재 부천사옥,386000021202500009,3860000,,300,,"경기도 부천시 원미구 송내대로 80, 메리츠화재 부천사옥 (상동)",14623,,01,영업/정상,,,032-620-7761,금융업
천일열처리,1074173511,5종,"금속 열처리, 도금 및 기타 금속가공업",,179814.052697887,446843.865334199,2026-03-20 03:03:03,U,11,영업,150,8,대기배출업소관리,2026-03-19 15:26:29,2002-08-05,,경기도 부천시 오정구 삼정동 220-29,386000021200200782,3860000,산업기계부품,,,경기도 부천시 오정구 신흥로441번길 65 (삼정동),,,01,영업/정상,,,032-674-7763,"금속 열처리, 도금 및 기타 금속가공업"
삼전순약공업(주)제2공장,1258519896,5종,,,206869.576479801,392659.662165758,2026-03-20 03:03:03,U,11,영업,252,8,대기배출업소관리,2026-03-19 16:08:27,1994-10-20,,경기도 평택시 모곡동 441-13,391000021199400019,3910000,,252,,경기도 평택시 산단로64번길 15 (모곡동),,,01,영업/정상,,,031-668-0725,
(주)신종합정비,1348640750,5종,자동차 수리업,,186424.697573023,419869.661067126,2026-03-20 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-03-19 18:04:06,1992-12-10,,경기도 안산시 상록구 사동 1486-1,393000021200000016,3930000,,300,,경기도 안산시 상록구 선진5길 30 (사동),,,01,영업/정상,,,,자동차 수리업
(주)다우환경,1348717367,4종,도금업,,179938.889813734,423205.89533253,2026-03-20 03:03:03,U,11,영업,,,대기배출업소관리,2026-03-19 19:23:58,2017-07-10,,경기도 안산시 단원구 목내동 448-9,393000021201700178,3930000,커넥터,,,경기도 안산시 단원구 목내로 125 (목내동),,,01,영업/정상,,,031-495-8931,도금업
성원포밍,1341886892,4종,도금업,,178439.456481567,423155.326046435,2026-03-20 03:03:03,U,11,영업,300,10,대기배출업소관리,2026-03-19 11:23:48,2021-09-03,,경기도 안산시 단원구 성곡동 625-5 성원포밍,393000021202100055,3930000,,300,,"경기도 안산시 단원구 성곡로22번길 34, 성원포밍 (성곡동)",15424,,01,영업/정상,,,031-495-2705,도금업
