건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,(주)그루컴퍼니,,204495.650175932,449405.611643886,,비디오물제작업,2026-03-20 22:08:34,I,13,영업중,"광고영상,홍보영상,디지털영상물",682.6,,2026-03-19 10:56:56,,2017-09-05,,서울특별시 성동구 성수동*가 ***-** 서울숲 SK V* TOWER,CDFF1241072026000024,3030000,,"서울특별시 성동구 성수일로*길 *, 서울숲 SK V* TOWER A동 ****호 (성수동*가)",04793,01,영업/정상,,,,,,
,필름메이크어스,,194093.05893977,450190.549493376,,비디오물제작업,2026-03-20 22:09:44,I,13,영업중,"영상, 광고제작",4.5,,2026-03-19 11:42:56,,2024-07-25,,서울특별시 마포구 노고산동 **-** 맹그로브 신촌 ***-*호,CDFF1241072026000026,3130000,,"서울특별시 마포구 서강로 ***, *층 ***-**호 (노고산동, 맹그로브 신촌)",04057,01,영업/정상,,,,,,
,(주)에이앤드에프코리아,,197761.352668418,450694.317526664,,비디오물제작업,2026-03-20 22:38:39,I,13,영업중,뉴미디어 동영상제작,33.06,,2026-03-19 17:07:56,,2026-03-19,,서울특별시 중구 남대문로*가 *** 단암빌딩,CDFF1241072026000008,3010000,,"서울특별시 중구 소월로 **, 단암빌딩 *층 (남대문로*가)",04527,01,영업/정상,,,,,,
,파란컴퍼니 주식회사,,202789.286726531,417668.604973311,,비디오물제작업,2026-03-20 21:38:33,I,13,영업중,광고 홍보물 영상 등,25.9,,2026-03-19 09:22:39,,2026-03-19,,경기도 수원시 팔달구 인계동 ****-*,CDFF1241072026000006,3740000,,"경기도 수원시 팔달구 효원로 ***, *층 ***호 (인계동)",16491,01,영업/정상,,,,,,
,한국역량교육개발원,,204190.10878253,453415.795068163,,비디오물제작업,2026-03-20 22:08:32,I,13,영업중,교육 및 홍보영상,25.49,,2026-03-19 14:19:19,,2026-03-19,,서울특별시 동대문구 청량리동 ***-* ***호,CDFF1241072026000005,3050000,,"서울특별시 동대문구 왕산로 ***, ***호 (청량리동)",02489,01,영업/정상,,,,02-3394-9909,,
,디엠씨 미디어링크,,190125.564768858,453090.149821248,,비디오물제작업,2026-03-20 22:09:44,I,13,영업중,"광고물, 홍보 영상물, 기록 영상물, 유튜브 콘텐츠 및 웹 예능",120.11,,2026-03-19 09:15:47,,2026-03-19,,서울특별시 마포구 상암동 **** KGIT 센터 ***호,CDFF1241072026000025,3130000,,"서울특별시 마포구 월드컵북로 ***, KGIT 센터 *층 ***호 (상암동)",03925,01,영업/정상,,,,,,
,주식회사 베리쉐이크,,192247.124778175,450278.703563543,,비디오물제작업,2026-03-20 22:09:44,I,13,영업중,비디오물,135.03,,2026-03-19 16:34:53,,2026-03-19,,서울특별시 마포구 서교동 ***-* C&L빌딩 ***호,CDFF1241072026000027,3130000,,"서울특별시 마포구 동교로 **, C&L빌딩 *층 ***호 (서교동)",04004,01,영업/정상,,,,,,
,위드앨리스,,188743.917679128,460675.198579675,,비디오물제작업,2026-03-20 21:08:30,I,13,영업중,영상콘텐츠 제작,23.04,,2026-03-19 14:15:06,,2026-03-19,,경기도 고양시 덕양구 원흥동 ***-* 클래시아 더 퍼스트,CDFF1241072026000034,3940000,,"경기도 고양시 덕양구 권율대로 ***, 클래시아 더 퍼스트 **층 ****호 (원흥동)",10564,01,영업/정상,,,,,,
,(주) 엔비커뮤니티,,201470.106636829,446144.110278895,,비디오물제작업,2026-03-20 22:08:31,I,13,영업중,비디오 영상,182,,2026-03-19 10:40:18,,2026-03-19,,서울특별시 서초구 잠원동 *-* 유명빌딩,CDFF1241072026000029,3210000,,"서울특별시 서초구 강남대로***길 **, 유명빌딩 *층 (잠원동)",06524,01,영업/정상,,,,,,
,일리(ILLI),,197056.728931087,447077.126289262,,비디오물제작업,2026-03-20 22:38:38,I,13,영업중,비디오,44.14,,2026-03-19 17:02:37,,2025-07-10,,서울특별시 용산구 한강로*가 **,CDFF1241072026000013,3020000,,"서울특별시 용산구 서빙고로 **, 타워동 ****호 (한강로*가)",04387,01,영업/정상,,,,070-7777-9272,,
,위크루,,264640.359023753,488899.375302086,,비디오물제작업,2026-03-20 21:08:31,I,13,영업중,영상,28,1,2026-03-19 11:47:31,,2026-03-19,,강원특별자치도 춘천시 우두동 ***-**,CDFF1241072026000002,4181000,,"강원특별자치도 춘천시 충열로 **-*, *층 (우두동)",24228,01,영업/정상,,,,,,
,위크루 컴퍼니,,213984.359629244,457620.039093366,,비디오물제작업,2026-03-20 21:08:29,I,13,영업중,영상/비디오제작,83.68,,2026-03-19 17:38:39,,2026-03-19,,경기도 남양주시 다산동 **** ***호,CDFF1241072026000009,3990000,,"경기도 남양주시 다산순환로 ***-**, ***호 (다산동)",12285,01,영업/정상,,,,,,
,메이크 더 필름,,275562.54081178,432784.345737021,,비디오물제작업,2026-03-20 21:08:32,I,13,영업중,비디오물 제작,22,,2026-03-19 14:53:17,,2026-03-19,,강원특별자치도 원주시 지정면 월송리 ***-**,CDFF1241072026000002,4191000,,"강원특별자치도 원주시 지정면 월송석화로 ***-**, *층",26358,01,영업/정상,,,,,,
