영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,시립고덕미래도파밀리에어린이집,어린이집,,,,2026-03-27 03:03:03,U,01,영업,19.74,,,,,,0,0,,2026-03-26 09:23:22,2026-03-13,19.74,,경기도 평택시 고덕동 2726-1 고덕국제신도시 미래도파밀리에,N,,3910029-105-2026-00003,0,3910000,"경기도 평택시 고덕국제5로 115 (고덕동, 고덕국제신도시 미래도파밀리에)",18023,01,영업/정상,어린이집,031-667-6115,,,상수도전용
,,영인산업 용인현장 직원식당,산업체,,204584.584691871,428924.504157185,2026-03-27 03:03:03,U,01,영업,192,,,,,,,,,2026-03-26 14:40:10,2026-03-24,192.00,448-110,경기도 용인시 수지구 고기동 229-6,N,,5640000-105-2026-00001,,4050000,"경기도 용인시 수지구 고기로 531, 1동 1층 (고기동)",16800,01,영업/정상,산업체,,,,지하수전용
,,자연숲어린이집,어린이집,,186442.311166067,441180.587238876,2026-03-27 03:03:03,U,01,영업,10,,,,,,0,0,,2026-03-26 11:04:18,2026-02-12,10.00,423-010,경기도 광명시 광명동 785 광명 해모로 이연 아파트,N,,3900000-105-2026-00001,0,3900000,"경기도 광명시 목감로 58, 관리동 1층 (광명동, 광명 해모로 이연 아파트)",14295,01,영업/정상,어린이집,02-2686-7603,,,
,,위례해솔유치원,기타 집단급식소,,212213.69441757,439866.251220044,2026-03-27 03:03:03,U,01,영업,96.9,,,,,,,,,2026-03-26 14:33:34,2026-02-26,317.50,461-829,경기도 성남시 수정구 복정동 156,N,,3790000-105-2026-00003,,3780000,경기도 성남시 수정구 남위례로 131 (복정동),13115,01,영업/정상,기타 집단급식소,,,,
,,빛의자녀어린이집,어린이집,,212730.176874712,441741.508563494,2026-03-27 22:13:03,I,01,영업,22.68,,,,,,0,0,,2026-03-26 17:23:52,2026-03-26,33.13,138-926,서울특별시 송파구 장지동 891,N,,3230000-105-2026-00006,0,3230000,"서울특별시 송파구 위례순환로 377, 빛의자녀어린이집 B동 (장지동)",05851,01,영업/정상,어린이집,,,,
,,시립평택 석정화성 파크드림 어린이집,어린이집,,,,2026-03-27 21:46:29,I,01,영업,23.71,,,,,,0,0,,2026-03-26 18:42:45,2026-03-26,23.71,459-020,경기도 평택시 장당동 683 평택석정화성파크드림,N,,3910029-105-2026-00004,0,3910000,"경기도 평택시 청원로 1290, 1층 (장당동, 평택석정화성파크드림)",17741,01,영업/정상,어린이집,,,,
,,시립고덕자이센트로어린이집,어린이집,,203977.366806775,395344.997631239,2026-03-27 21:46:29,I,01,영업,22.08,,,,,,0,0,,2026-03-26 18:42:14,2026-03-26,22.08,,경기도 평택시 고덕동 1860-2 고덕자이센트로,N,,3910029-105-2026-00005,0,3910000,"경기도 평택시 고덕국제2로 189, 관리동 (고덕동, 고덕자이센트로)",18004,01,영업/정상,어린이집,,,,상수도전용
,,파크시스템스 주식회사,산업체,,,,2026-03-27 21:13:02,I,01,영업,200,,,,,,0,0,,2026-03-26 17:09:20,2026-03-26,860.00,427-100,경기도 과천시 갈현동 791,N,,3970000-105-2026-00001,0,3970000,"경기도 과천시 과천대로12길 150, 2층 (갈현동)",13824,01,영업/정상,산업체,,,,
,,현대자동차 수원하이테크센터,산업체,,206355.705742487,418355.744859018,2026-03-27 21:43:04,I,01,영업,607.3,,,,,,0,0,,2026-03-26 09:08:01,2026-03-25,607.30,446-908,경기도 용인시 기흥구 영덕동 537-3 5층 일부호,N,,5630000-105-2026-00003,0,4050000,"경기도 용인시 기흥구 중부대로 30, 5층 일부호 (영덕동)",16956,01,영업/정상,산업체,,,,상수도전용
,,시립자이더샵포레나어린이집,어린이집,,187855.739966923,442963.84824497,2026-03-27 03:03:03,U,01,영업,21.2,,,,,,0,0,,2026-03-26 11:05:12,2026-03-12,26.81,423-800,경기도 광명시 광명동 9-8 광명자이더샵포레나 1단지,N,,3900000-105-2026-00003,0,3900000,"경기도 광명시 사성로75번길 1, 105동 앞호 (광명동, 광명자이더샵포레나 1단지)",14209,01,영업/정상,어린이집,,,,
,,시립다율숲어린이집,어린이집,,,,2026-03-27 21:43:03,I,01,영업,12.4,,,,,,0,0,,2026-03-26 16:31:34,2026-03-26,12.40,413-080,경기도 파주시 다율동 1005 중흥S-클래스 에듀하이 해오름마을1단지,N,,4060000-105-2026-00014,0,4060000,"경기도 파주시 교하로 1160 (다율동, 중흥S-클래스 에듀하이 해오름마을1단지)",10865,01,영업/정상,어린이집,,,,상수도전용
,임대,비에스코아이비인후과병원,병원,,185487.641769266,450280.85856253,2026-03-27 03:03:03,U,01,영업,0,,,,,,0,0,,2026-03-26 17:18:03,2024-02-07,,157-827,서울특별시 강서구 내발산동 668 8층,N,,3150000-105-2024-00003,0,3150000,"서울특별시 강서구 강서로 323, 8층 (내발산동)",07632,01,영업/정상,병원,,,,
,,서초구립잠원동어린이집,어린이집,,201419.55811398,445517.003779908,2026-03-27 03:03:03,U,01,영업,0,,,,,,0,0,,2026-03-26 15:33:29,2018-03-28,497.00,137-904,서울특별시 서초구 잠원동 34-8 서초구립 잠원동어린이집,N,,3210000-105-2018-00006,0,3210000,"서울특별시 서초구 강남대로95길 75, 서초구립 잠원동어린이집 (잠원동)",06529,01,영업/정상,어린이집,,,,
,,현대강남어린이집,어린이집,,202613.50645272,443557.30252734,2026-03-27 03:03:03,U,01,영업,25.82,,,,,,0,0,,2026-03-26 15:43:42,2025-08-29,25.82,135-936,서울특별시 강남구 역삼동 831-7,N,,3220000-105-2025-00011,0,3220000,"서울특별시 강남구 강남대로 350, 현대자동차 강남대로사옥 4층 (역삼동)",06242,01,영업/정상,어린이집,,,,
