영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,임대,롯데마트 천호점,즉석판매제조가공업,,211150.812213612,448805.145144628,2026-04-24 03:03:03,U,01,영업,0,,,,,,,,,2026-04-23 17:03:03,2025-04-03,60.16,134-873,서울특별시 강동구 천호동 423-200 강동 밀레니얼 중흥S-클래스,N,,3240000-107-2025-00125,,3240000,"서울특별시 강동구 올림픽로78길 60, B1층 (천호동, 강동 밀레니얼 중흥S-클래스)",05326,01,영업/정상,즉석판매제조가공업,02-3016-2500,,,
,자가,롯데슈퍼 삼성점,즉석판매제조가공업,,203675.905036013,445926.119732235,2026-04-24 03:03:03,U,01,영업,16.8,,,,,,,,,2026-04-23 16:55:00,2018-10-17,16.80,135-864,서울특별시 강남구 삼성동 8-2 브라운스톤 레전드 지하1층,N,,3220000-107-2018-00740,,3220000,"서울특별시 강남구 선릉로 660, 지하1층 (삼성동, 브라운스톤 레전드)",06088,01,영업/정상,즉석판매제조가공업,,,,
,자가,롯데쇼핑(주)롯데슈퍼 도봉캐슬점,즉석판매제조가공업,,203920.444016775,462830.484935873,2026-04-24 03:03:03,U,01,영업,0,,,,,,,,,2026-04-23 16:23:38,2025-12-12,8.50,132-854,서울특별시 도봉구 방학동 717-6 도봉 롯데캐슬 골든파크,N,,3090000-107-2025-00296,,3090000,"서울특별시 도봉구 도봉로150마길 34, 201동 지하1층 B107-B126호 (방학동, 도봉 롯데캐슬 골든파크)",01332,01,영업/정상,즉석판매제조가공업,,,,
,자가,롯데쇼핑(주)롯데슈퍼공릉점,즉석판매제조가공업,,206952.444113646,457814.529614419,2026-04-24 22:16:26,I,01,영업,0,0,0,0,,,0,0,,2026-04-22 16:21:38,2007-05-16,,139-800,서울특별시 노원구 공릉동 238-53,N,,3100000-107-2007-00077,0,3100000,"서울특별시 노원구 공릉로 144 (공릉동, 238-53)",01819,01,영업/정상,즉석판매제조가공업,,,,
,자가,롯데쇼핑(주) 롯데슈퍼 남가좌점,즉석판매제조가공업,,192480.02944094,452634.55767379,2026-04-24 03:03:03,U,01,영업,0,,,,,,,,,2026-04-23 15:31:26,2009-06-30,.96,120-805,서울특별시 서대문구 남가좌동 240 동부센트레빌상가지하2층,N,,3120000-107-2009-00027,,3120000,"서울특별시 서대문구 거북골로 120 (남가좌동, 가재울센트레빌 상가 지하2층 3-3호)",03690,01,영업/정상,즉석판매제조가공업,02-2290-5735,,,
,자가,롯데쇼핑(주)롯데슈퍼상계11점,즉석판매제조가공업,,204962.052697783,462608.538123171,2026-04-24 22:16:26,I,01,영업,0,0,0,0,,,,0,,2026-04-22 16:24:58,2009-08-26,9.90,139-823,서울특별시 노원구 상계동 651 11단지종합상가롯데슈퍼상계11점,N,,3100000-107-2009-00138,,3100000,"서울특별시 노원구 동일로 1541 (상계동, 651 11단지종합상가롯데슈퍼상계11점)",01620,01,영업/정상,즉석판매제조가공업,02-934-1154,,,
,,롯데쇼핑(주)롯데마트강변점,즉석판매제조가공업,,208394.416382167,448165.279999905,2026-04-24 03:03:03,U,01,영업,0,,,,,,,,,2026-04-23 10:00:25,2013-05-08,17.11,143-200,서울특별시 광진구 구의동 546-4 롯데마트강변점 내(지하2층),N,,3040000-107-2013-00012,,3040000,"서울특별시 광진구 광나루로56길 85, 지하2층 (구의동, 롯데마트강변점 내)",05116,01,영업/정상,즉석판매제조가공업,02-3424-2500,,,
,자가,주식회사 이랜드리테일 뉴코아부천점,즉석판매제조가공업,,178411.442079953,444684.405331659,2026-04-24 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-23 17:20:38,2024-06-11,7.76,,경기도 부천시 원미구 상동 539-1 소풍(부천터미널) 1층 1F09호,N,,3860000-107-2024-00304,,3860000,"경기도 부천시 원미구 송내대로 239, 소풍(부천터미널) 1층 1F09호 (상동)",14545,01,영업/정상,즉석판매제조가공업,032-624-8170,,,
,자가,주식회사 씨스코컴퍼니,즉석판매제조가공업,2026-04-22,197592.883419765,448992.65548843,2026-04-24 22:46:30,I,02,폐업,0,,,,,,,,,2026-04-22 14:12:18,2021-01-06,15.30,140-160,서울특별시 용산구 남영동 57-5,N,,3020000-107-2021-00072,,3020000,"서울특별시 용산구 한강대로80길 11-14, 1층 101호 (남영동)",04352,03,폐업,즉석판매제조가공업,,,,
,임대,롯데슈퍼 원효로점,즉석판매제조가공업,,197045.849468346,448447.558967085,2026-04-24 22:46:30,I,01,영업,0,,,,,,,,,2026-04-21 15:18:20,2023-04-19,33.00,140-111,서울특별시 용산구 원효로1가 133-3 리첸시아 용산,N,,3020000-107-2023-00076,,3020000,"서울특별시 용산구 백범로 341, A동 지하1층 (원효로1가, 리첸시아 용산)",04315,01,영업/정상,즉석판매제조가공업,02-711-5603,,,
