사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
(주)메디웨이브,,197034.02843741,450305.644873169,2026-04-28 22:32:40,I,13,영업중,2020-10-28 17:58:10,,2014-11-27,,서울특별시 중구 만리동*가 **-* 서울역 디오빌,PHMG120203010033047000102,3010000,"서울특별시 중구 만리재로 ***, 서울역 디오빌 ***호 (만리동*가)",04501,01,영업/정상,,,02-719-3277,
신세계(뉴월드),2021-05-31,201250.876993355,451908.773811626,2026-04-28 22:32:42,I,03,폐업,2021-05-31 11:29:16,,2021-05-24,,서울특별시 중구 신당동 ***-** 청평화시장,PHMG120213010033047000108,3010000,"서울특별시 중구 청계천로 ***, 청평화시장 *층 가열**호 (신당동)",04568,03,폐업,,,,
신명치과상사,2021-06-15,197486.418122228,450683.054495595,2026-04-28 22:31:56,I,03,폐업,2021-06-15 13:15:16,,1994-12-29,,서울특별시 중구 봉래동*가 ***번지 *호 신성빌딩 ***호,PHMG119943010033047000008,3010000,"서울특별시 중구 세종대로*길 **, ***호 (봉래동*가, 신성빌딩)",04512,03,폐업,,,02-756-6366,
다이소 롯데던던동대문점,,200548.038848161,451497.626572161,2026-04-28 22:32:46,I,13,영업중,2025-11-04 13:53:23,,2025-09-25,,서울특별시 중구 을지로*가 **-** 동대문패션TV,PHMG120253010033047000058,3010000,"서울특별시 중구 을지로 ***, 동대문패션TV *층 (을지로*가)",04561,01,영업/정상,,,02-405-8402,
에이치케이이노엔(주),,198921.241301241,451495.985361171,2026-04-28 22:32:26,I,15,전출,2025-02-19 11:00:54,,2014-04-11,,서울특별시 중구 을지로*가 ***,PHMG120143010033047000030,3010000,"서울특별시 중구 을지로 ***, A동 *층, *층, *층 (을지로*가)",04551,05,제외/삭제/전출,,,02-6740-0212,
삼성산업안전(주),,199090.091049701,451723.585099121,2026-04-28 22:32:44,I,13,영업중,2026-03-24 17:08:01,,2022-03-21,,서울특별시 중구 수표동 **-*,PHMG120223010033047000119,3010000,"서울특별시 중구 수표로 **-**, 청계파크뷰 *층 ***호, ***호, 지하*층 엘***호, 엘***호 (수표동)",04543,01,영업/정상,,,02-2269-2057,
(주)유정메디텍,,198954.01507886,450695.981256944,2026-04-28 22:32:35,I,13,영업중,2025-01-21 14:52:07,,2015-05-12,,서울특별시 중구 예장동 *-**,PHMG120163010033047000090,3010000,"서울특별시 중구 소파로*길 **, B*층,*층 (예장동)",04628,01,영업/정상,,,070-4888-2931,
아이샘옵틱,2009-02-23,,,2026-04-28 22:31:57,I,03,폐업,2009-02-23 17:10:31,,2002-09-30,,서울특별시 중구 남대문로*가 **-*  신남문빌딩 ***호,PHMG120023010033047000019,3010000,,,03,폐업,,,,
티에스(T.S)종합상사,2019-06-19,201707.287024917,451991.721108783,2026-04-28 22:32:35,I,03,폐업,2019-06-20 10:04:50,,2016-06-16,,서울특별시 중구 황학동 ****번지,PHMG120163010033047000052,3010000,"서울특별시 중구 난계로**길 **-*, ***호 (황학동)",04573,03,폐업,,,,
주식회사 제이시한인터내셔날,2019-12-30,200832.515831571,450858.043353944,2026-04-28 22:32:12,I,24,직권폐업,2019-12-31 11:07:26,,2010-06-11,100-833,서울특별시 중구 신당*동 ***번지 *호 세아빌딩 *층,PHMG120103010033047000058,3010000,"서울특별시 중구 청구로**길 ** (신당동,세아빌딩 *층)",,04,취소/말소/만료/정지/중지,,,02-2231-6595,
