건축물명,건축물상태명,건축물연면적,사업장명,청소대상시작일자,청소대상종료일자,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,업무구분,업무구분명,휴업폐지사유,휴업시작일자,휴업종료일자,소재지전화번호
,,,익원포장건설,,,,209270.245730294,456812.396836347,2026-05-03 22:53:34,I,11,정상,2015-01-05 21:08:32,,2001-09-01,,서울특별시 중랑구 신내동 ***,306000031200100003,3060000,서울특별시 중랑구 용마산로***길 **  (신내동),,,01,영업/정상,31,저수조청소업,,,,02-491-2000
,,,대한실업,,,,207362.670244643,453594.477568923,2026-05-03 22:53:34,I,11,정상,2023-06-20 09:33:33,,2006-11-06,,서울특별시 중랑구 면목동 ***-**,306000031200300003,3060000,서울특별시 중랑구 겸재로**길 ** (면목동),,,01,영업/정상,31,저수조청소업,,,,02-2208-3445
,,,현탑건설주식회사,,,,208167.820060174,453369.591355604,2026-05-03 22:53:35,I,11,정상,2015-01-05 21:08:32,,2007-02-08,,서울특별시 중랑구 면목동 **-**,306000031200400001,3060000,서울특별시 중랑구 용마산로 ***-*  (면목동),,,01,영업/정상,31,저수조청소업,,,,02-496-5678
,,,금강종합개발,,,,208874.720348938,454274.872789449,2026-05-03 22:53:33,I,11,정상,2024-05-28 16:42:56,,2011-06-15,,서울특별시 중랑구 망우동 ***-** 지층,306000031200400008,3060000,"서울특별시 중랑구 용마산로***길 **, 지층동 (망우동)",02185,,01,영업/정상,31,저수조청소업,,,,02-433-0088
,,,서울ENC,,,,207446.851278562,454010.501884128,2026-05-03 22:53:33,I,11,정상,2023-11-22 16:16:02,,2013-02-21,,서울특별시 중랑구 면목동 ***-** 대한익스프레스 *층,306000031200500002,3060000,"서울특별시 중랑구 면목로**길 **, 대한익스프레스 *층 (면목동)",02145,,01,영업/정상,31,저수조청소업,,,,02-491-5344
,,,정아환경개발,,,2026-02-09,208294.31154469,455843.287574845,2026-05-03 22:53:33,I,2,폐업,2026-02-10 13:07:54,,2005-04-11,,서울특별시 중랑구 신내동 *** 성원상가 지하*층 *호,306000031200500003,3060000,"서울특별시 중랑구 신내로 ** (신내동,성원상가 지하*층 *호)",,,03,폐업,31,저수조청소업,자진 폐업,,,22086399
,,,(주)람보씨엠개발,,,,209085.926142332,457283.215342184,2026-05-03 22:53:33,I,11,정상,2026-04-03 13:54:34,,2013-07-08,,서울특별시 중랑구 신내동 ***-* 데시앙플렉스 A동 ***호,306000031200500004,3060000,"서울특별시 중랑구 신내역로*길 **-**, 데시앙플렉스 A동 ***호 (신내동)",02055,,01,영업/정상,31,저수조청소업,,,,02-495-0967
,,,(주)루빈건설,,,,206383.897778215,454203.278747142,2026-05-03 22:53:34,I,11,정상,2026-03-16 17:20:48,,2008-04-14,,서울특별시 중랑구 면목동 ***-* ***호,306000031200800002,3060000,"서울특별시 중랑구 중랑천로 **, ***호 (면목동)",02118,,01,영업/정상,31,저수조청소업,,,,02-2208-5145
,,,(주)상봉에스디,,,,207307.253347922,454265.583954287,2026-05-03 22:53:31,I,11,정상,2023-02-22 16:40:36,,2012-02-03,,서울특별시 중랑구 면목동 ***-*,306000031200900004,3060000,서울특별시 중랑구 동일로***길 ** (면목동),,,01,영업/정상,31,저수조청소업,,,,02-2209-0591
,,,합자회사 목우공영,,,,206383.897778215,454203.278747142,2026-05-03 22:53:31,I,11,정상,2023-07-14 10:30:19,,2016-05-20,,서울특별시 중랑구 면목동 ***-* ***호,306000031201000001,3060000,"서울특별시 중랑구 중랑천로 **, ***호 (면목동)",02118,,01,영업/정상,31,저수조청소업,,,,02-2207-5146
,,,(주)세종환경개발,,,,207013.37648833,455670.575592586,2026-05-03 22:53:32,I,11,정상,2023-07-14 10:34:25,,2010-11-10,,서울특별시 중랑구 중화동 ***-**,306000031201000002,3060000,서울특별시 중랑구 동일로***길 ** (중화동),,,01,영업/정상,31,저수조청소업,,,,02-497-8913
,,,(주)새서울환경,,,,207666.878836451,455135.800669899,2026-05-03 22:53:32,I,11,정상,2023-07-14 10:36:21,,2013-06-25,,서울특별시 중랑구 상봉동 ***-**,306000031201300001,3060000,서울특별시 중랑구 상봉중앙로*길 ** (상봉동),,,01,영업/정상,31,저수조청소업,,,,
,,,태린건설(주),,,,206383.897778215,454203.278747142,2026-05-03 22:53:32,I,11,정상,2023-07-14 10:32:40,,2015-01-28,,서울특별시 중랑구 면목동 ***-* *층,306000031201500001,3060000,"서울특별시 중랑구 중랑천로 **, *층 (면목동)",,,01,영업/정상,31,저수조청소업,,,,02-2208-5144
,,,현크린컴퍼니,,,,209235.719782146,456560.343916517,2026-05-03 22:53:35,I,11,정상,2023-07-14 10:27:37,,2015-02-04,,서울특별시 중랑구 망우동 ***-* ***호,306000031201500002,3060000,"서울특별시 중랑구 용마산로***가길 *, ***호 (망우동)",02057,,01,영업/정상,31,저수조청소업,,,,02-718-6122
