사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
하늘애견,2025-12-01,202009.315164926,460409.484269558,2026-05-03 22:43:25,I,0002,폐업,,2025-12-18 17:23:34,,2009-03-16,,,서울특별시 강북구 수유동 ***-*,308000004520090002,3080000,000,서울특별시 강북구 노해로**길 ** (수유동),,,03,폐업,,,
아이러브 캣,2025-12-23,201922.432010876,460169.987212613,2026-05-03 22:43:36,I,0002,폐업,,2025-12-23 12:51:49,,2019-05-16,0,,서울특별시 강북구 수유동 ***-*** 진흥빌딩,308000004520190007,3080000,000,"서울특별시 강북구 노해로 **, 진흥빌딩 *층 (수유동)",01048,,03,폐업,,,02-990-3359
주식회사 에이플코리아 롯데슈퍼 유진점,,194850.361025035,454344.432517428,2026-05-03 22:46:24,I,0002,폐업,,2022-04-28 18:10:52,,2017-06-30,0,,서울특별시 서대문구 홍제동 ***-**,312000004520170002,3120000,L00,"서울특별시 서대문구 통일로 *** (홍제동, 유진상가)",03628,,03,폐업,,,02-589-3579
경기관상어,2025-12-31,208589.363343145,445455.90405262,2026-05-03 22:04:02,I,0002,폐업,,2026-01-21 14:54:56,,2014-11-12,0,,서울특별시 송파구 잠실동 **-*,323000004520140011,3230000,000,"서울특별시 송파구 올림픽로 ***, 롯데마트 지하*층 (잠실동)",05554,,03,폐업,,,02-2066-4730
SHIBASLUV,2025-12-30,210704.00864061,445377.205447926,2026-05-03 22:04:06,I,0002,폐업,,2025-12-31 09:34:48,,2021-08-02,0,,서울특별시 송파구 방이동 ***-* 보람파크빌리지,323000004520210025,3230000,000,"서울특별시 송파구 마천로 *, ***동 *층 ***호 (방이동, 보람파크빌리지)",05640,,03,폐업,,,
아쿠아플러스 홈플러스(잠실점),2026-01-28,209039.148023482,446007.966801057,2026-05-03 22:04:08,I,0002,폐업,,2026-02-04 17:24:42,,2023-04-26,0,,서울특별시 송파구 신천동 *-** SONGPA FUN STADIUM,323000004520230003,3230000,L00,"서울특별시 송파구 올림픽로**가길 **, SONGPA FUN STADIUM B*층 (신천동)",05510,,03,폐업,,,02-3468-8000
해피애견,,204922.452780447,454316.561664837,2026-05-03 22:03:36,I,0002,폐업,,2022-04-28 18:10:48,,2008-07-16,,,서울특별시 동대문구 회기동 ***-**,305000004520080001,3050000,000,,,,03,폐업,,,02-968-1080
쿨펫동물병원,,206325.349431713,452184.2101607,2026-05-03 22:03:36,I,0002,폐업,,2022-04-28 18:10:48,,2008-07-16,0,,서울특별시 동대문구 장안동 ***-*,305000004520080003,3050000,000,서울특별시 동대문구 답십리로 *** (답십리동),,,03,폐업,,,02-2115-1960
수동물병원,,205650.039133092,452050.921389104,2026-05-03 22:03:39,I,0002,폐업,,2022-04-28 18:10:48,,2012-02-01,0,,서울특별시 동대문구 답십리동 *** ***호,305000004520120001,3050000,000,서울특별시 동대문구 한천로 *** (답십리동),,,03,폐업,,,02-2242-3375
아이퍼피,,205810.476856986,451598.314462124,2026-05-03 22:03:39,I,0002,폐업,,2022-04-28 18:10:48,,2013-11-08,0,,서울특별시 동대문구 장안동 ***-*,305000004520130003,3050000,000,서울특별시 동대문구 한천로**길 ** (장안동),02628,,03,폐업,,,
우리동물병원,,196510.559726227,452071.434486309,2026-05-03 22:46:23,I,0002,폐업,,2022-04-28 18:10:51,,2008-03-26,0,,서울특별시 서대문구 영천동 ***,312000004520140002,3120000,000,서울특별시 서대문구 통일로 *** (영천동),03734,,03,폐업,,,
잠실준25시동물병원,,208088.558210131,444991.490732515,2026-05-03 22:03:59,I,0000,정상,,2022-09-14 09:32:33,,2008-10-21,0,,서울특별시 송파구 삼전동 **-*,323000004520080006,3230000,000,서울특별시 송파구 석촌호수로 *** (삼전동),05600,,01,영업/정상,,,02-415-7580
몰리스펫샵 코리아퍼피 가든점,,210480.282018702,441833.16323518,2026-05-03 22:04:01,I,0000,정상,,2022-04-28 18:11:01,,2011-07-01,0,,서울특별시 송파구 문정동 *** 가든파이브툴 지하*층,323000004520110003,3230000,L00,"서울특별시 송파구 충민로 **, 지하*층 (문정동, 가든파이브툴)",05840,,01,영업/정상,,,070-8870-8245
아쿠아오리지널,,208589.363343145,445455.90405262,2026-05-03 22:04:02,I,0000,정상,,2022-04-28 18:11:01,,2012-10-10,0,,서울특별시 송파구 잠실동 **-* 롯데마트 B* 수족관,323000004520120011,3230000,000,"서울특별시 송파구 올림픽로 ***, 롯데마트 B* 수족관 (잠실동)",05554,,01,영업/정상,,,
캣마을,,209074.157492629,444171.770337417,2026-05-03 22:04:02,I,0000,정상,,2022-08-09 12:30:40,,2013-06-14,0,,서울특별시 송파구 석촌동 ***-* *층,323000004520130001,3230000,000,"서울특별시 송파구 가락로 **, *층 (석촌동)",05695,,01,영업/정상,,,
해피투개더,,211040.981096136,443471.000018921,2026-05-03 22:04:02,I,0000,정상,,2022-04-28 18:11:02,,2015-08-25,0,,서울특별시 송파구 가락동 ***-** *층,323000004520150006,3230000,000,"서울특별시 송파구 송이로**길 *, *층 (가락동)",05827,,01,영업/정상,,,
해피애견타운 서울잠실송파점 강아지분양 말티푸미니비숑포메,,209666.669880655,444482.942721067,2026-05-03 22:04:03,I,0000,정상,,2025-07-23 11:18:30,,2016-05-02,0,,서울특별시 송파구 송파동 **-* *층,323000004520160006,3230000,000,"서울특별시 송파구 송파대로 ***, *층 (송파동)",05668,,01,영업/정상,,,
리얼허브애견카페,,210938.938647923,442986.680448912,2026-05-03 22:04:03,I,0000,정상,,2022-09-14 09:38:31,,2016-08-16,0,,,323000004520160007,3230000,000,서울특별시 송파구 동남로*길 ** (문정동),05804,,01,영업/정상,,,02-449-2700
하트동물메디컬센터,,208492.722187505,444640.994915597,2026-05-03 22:04:04,I,0000,정상,,2022-04-28 18:11:03,,2017-11-22,0,,서울특별시 송파구 삼전동 ***-** 신일빌딩,323000004520170010,3230000,000,서울특별시 송파구 삼학사로 ** (삼전동),05603,,01,영업/정상,,,02-424-2955
미쓰멍,,211209.377101031,442253.47572089,2026-05-03 22:04:04,I,0000,정상,,2022-04-28 18:11:03,,2018-05-09,0,,서울특별시 송파구 문정동 **-* *층,323000004520180015,3230000,000,"서울특별시 송파구 새말로**길 *, *층 (문정동)",05810,,01,영업/정상,,,
위드펫,,207433.005970073,444811.921776388,2026-05-03 22:04:04,I,0000,정상,,2022-04-28 18:11:05,,2018-07-12,0,,서울특별시 송파구 잠실동 ***-** *층,323000004520180046,3230000,000,"서울특별시 송파구 백제고분로 ***, *층 (잠실동)",05568,,01,영업/정상,,,02220200075
