영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
학교정화(상대),,비엠더블유(B.M.W.)단란주점,단란주점,,188967.101093347,429021.607705967,2026-05-03 22:00:20,I,01,영업,138.36,0,0,0,0,,0,0,,2017-12-19 10:15:00,1999-12-17,138.36,426-400,경기도 안산시 상록구 수암동 503 지층,Y,0,5550000-103-1999-00022,0,3930000,"경기도 안산시 상록구 수인로 2016, 지층 (수암동)",15202,01,영업/정상,단란주점,031-480-0766,,,
,,주얼리노래빠,단란주점,,188253.957854201,423022.369281664,2026-05-03 22:00:20,I,01,영업,79.1,,,,,,,,,2024-05-27 17:41:09,2002-08-24,79.10,426-860,경기도 안산시 상록구 일동 632-2 원영빌딩지하1층 101호,Y,,5550000-103-2002-00004,,3930000,"경기도 안산시 상록구 성호로 30, 지1층 101호 (일동)",15326,01,영업/정상,단란주점,031-418-1789,,,
,,에이스노래광장,단란주점,,186637.281280683,422884.281694248,2026-05-03 22:00:20,I,01,영업,42.21,,,,0,,,,,2022-03-22 15:23:41,2003-07-09,42.21,426-863,경기도 안산시 상록구 이동 714 4층 404-1호,Y,0,5550000-103-2003-00001,,3930000,"경기도 안산시 상록구 광덕1로 365, 4층 404-1호 (이동)",15494,01,영업/정상,단란주점,031-409-6739,,,
,,축제단란주점,단란주점,,186393.173269804,425206.060306861,2026-05-03 22:00:20,I,01,영업,89.18,,,,0,,,,,2020-05-29 11:32:42,2004-06-07,89.18,426-853,경기도 안산시 상록구 월피동 445-26 지혜빌딩4층 406호,Y,0,5550000-103-2004-00001,,3930000,"경기도 안산시 상록구 예술광장로 29, 4층 406호 (월피동)",15288,01,영업/정상,단란주점,031-484-2505,,,
,,짱노래광장주점,단란주점,,186680.13986346,422992.844377329,2026-05-03 22:00:20,I,01,영업,61.96,,,,,,,,,2022-05-26 11:25:26,2004-08-12,61.96,426-863,경기도 안산시 상록구 이동 715-7 진성프라자 2층 203-2호,Y,,5550000-103-2004-00004,,3930000,"경기도 안산시 상록구 양지편로 28, 2층 203-2호 (이동, 진성프라자)",15494,01,영업/정상,단란주점,031-407-4071,,,
,,양지노래팡,단란주점,,188942.206452546,428952.218461294,2026-05-03 22:00:20,I,01,영업,109.44,,,,0,,,,,2025-04-10 09:59:51,2004-10-16,109.44,426-400,경기도 안산시 상록구 수암동 503-10 지층,Y,0,5550000-103-2004-00005,,3930000,"경기도 안산시 상록구 수인로 2010, 지층 (수암동)",15202,01,영업/정상,단란주점,031-487-6337,,,상수도전용
기타,,예림단란주점,단란주점,,187787.629207925,420598.021108698,2026-05-03 22:00:20,I,01,영업,75.3,,,,0,,,,,2022-05-11 13:59:35,2005-01-03,75.30,426-817,경기도 안산시 상록구 본오동 948-6 지층,Y,0,5550000-103-2005-00001,,3930000,"경기도 안산시 상록구 이호로 55, 지층 (본오동)",15566,01,영업/정상,단란주점,031-415-3317,,,상수도전용
,,오케이(OK)노래광장단란주점,단란주점,,186646.750188065,422947.550247455,2026-05-03 22:00:20,I,01,영업,108.48,,,,,,,,,2025-08-18 14:58:44,2005-07-28,108.48,426-863,경기도 안산시 상록구 이동 715-5 대성프라자2층 202호,Y,,5550000-103-2005-00003,,3930000,"경기도 안산시 상록구 양지편1길 26, 2층 202호 (이동)",15494,01,영업/정상,단란주점,031-406-1226,,,상수도전용
,,축제노래광장단란주점,단란주점,,186718.478680407,422949.795384342,2026-05-03 22:00:20,I,01,영업,88.92,,,,,,,,,2022-05-12 10:37:47,2005-09-14,88.92,426-863,경기도 안산시 상록구 이동 715-3 강우프라자3층 304호,Y,,5550000-103-2005-00005,,3930000,"경기도 안산시 상록구 광덕1로 375, 3층 304호 (이동)",15494,01,영업/정상,단란주점,031-502-1159,,,
,,짱단란주점,단란주점,,188959.309372245,428995.633699671,2026-05-03 22:00:20,I,01,영업,83.21,,,,,,,,,2022-05-11 21:05:20,2005-11-22,83.21,426-400,경기도 안산시 상록구 수암동 503-13 2층 201호,Y,,5550000-103-2005-00007,,3930000,"경기도 안산시 상록구 수인로 2014, 2층 201호 (수암동)",15202,01,영업/정상,단란주점,,,,
,,해피노래광장,단란주점,,187840.785453208,420703.355145387,2026-05-03 22:00:20,I,01,영업,121.75,,,,,,,,,2022-06-09 17:01:52,2006-02-16,121.75,426-817,경기도 안산시 상록구 본오동 948-23 3층일부,Y,,5550000-103-2006-00001,,3930000,"경기도 안산시 상록구 샘골로 47, 3층 (본오동)",15566,01,영업/정상,단란주점,031-501-1472,,,
기타,,만수르 노래광장,단란주점,,186820.557898171,422864.428734471,2026-05-03 22:00:20,I,01,영업,128.7,,,,0,,,,,2022-05-10 14:48:49,2006-09-04,128.70,426-863,경기도 안산시 상록구 이동 716-3 숭실프라자2층 205호,Y,0,5550000-103-2006-00002,,3930000,"경기도 안산시 상록구 중보로 49, 2층 205호 (이동)",15495,01,영업/정상,단란주점,031-418-4665,,,상수도전용
,,그랜드노래광장,단란주점,,186813.342863223,422929.94691684,2026-05-03 22:00:20,I,01,영업,53.2,,,,0,,,,,2022-05-09 09:58:19,2007-02-28,53.20,426-863,경기도 안산시 상록구 이동 716-11 덕성프라자지층 B02호,Y,0,5550000-103-2007-00001,,3930000,"경기도 안산시 상록구 광덕1로 382, 지층 B02호 (이동)",15495,01,영업/정상,단란주점,031-406-4981,,,
유흥업소밀집지역,,승연7080라이브,단란주점,,187905.876022574,422259.45712136,2026-05-03 22:00:20,I,01,영업,82,,,,,,,,,2023-02-13 13:51:36,2007-08-17,82.00,426-815,경기도 안산시 상록구 본오동 874-2 송암빌딤2층 205호,Y,,5550000-103-2007-00002,,3930000,"경기도 안산시 상록구 상록수로 40, 2층 205호 (본오동)",15532,01,영업/정상,단란주점,,,,상수도전용
유흥업소밀집지역,,럭셔리,단란주점,,187724.061231926,422142.192423107,2026-05-03 22:00:20,I,01,영업,97.2,,,,,,,,,2022-05-24 11:22:00,2007-12-06,97.20,426-815,경기도 안산시 상록구 본오동 878-8 3층 301호,Y,,5550000-103-2007-00003,,3930000,"경기도 안산시 상록구 본삼로 21, 3층 301호 (본오동)",15537,01,영업/정상,단란주점,031-406-0168,,,상수도전용
,,점프노래광장,단란주점,,186637.281280683,422884.281694248,2026-05-03 22:00:20,I,01,영업,45.3,,,,,,,,,2022-05-11 18:33:49,2007-12-06,45.30,426-863,경기도 안산시 상록구 이동 714 3층 305호,Y,,5550000-103-2007-00004,,3930000,"경기도 안산시 상록구 광덕1로 365, 3층 305호 (이동)",15494,01,영업/정상,단란주점,031-408-2252,,,
기타,,세븐노래광장,단란주점,,188337.02471408,423090.731427415,2026-05-03 22:00:20,I,01,영업,100.44,,,,,기타,,,,2024-05-16 16:44:34,2008-10-23,100.44,426-860,경기도 안산시 상록구 일동 632-15 금신빌딩3층 304호,Y,,5550000-103-2008-00001,,3930000,"경기도 안산시 상록구 안산대학로 105, 3층 304호 (일동)",15326,01,영업/정상,단란주점,031-438-2244,,,상수도전용
기타,,큐(Q)노래광장,단란주점,,186767.046476653,422989.898846087,2026-05-03 22:00:20,I,01,영업,83.05,,,,,,,,,2022-05-06 20:34:14,2008-11-13,83.05,426-863,경기도 안산시 상록구 이동 715-1 세종타운2층 201호,Y,,5550000-103-2008-00002,,3930000,"경기도 안산시 상록구 광덕1로 381, 2층 201호 (이동)",15494,01,영업/정상,단란주점,031-409-4933,,,상수도전용
기타,,보몬드(BOMOND),단란주점,,186725.823336385,423033.453773718,2026-05-03 22:00:20,I,01,영업,99.78,,,,,,,,,2025-10-28 10:29:17,2008-12-11,99.78,426-863,경기도 안산시 상록구 이동 715-9 조강빌딩2층 201-1호,Y,,5550000-103-2008-00003,,3930000,"경기도 안산시 상록구 양지편로 34, 2층 201-1호 (이동)",15494,01,영업/정상,단란주점,031-406-3322,,,상수도전용
,,히어로노래광장,단란주점,,186718.34120783,422856.807768142,2026-05-03 22:00:20,I,01,영업,92.51,,,,,,,,,2022-11-21 15:21:21,2010-06-03,92.51,426-863,경기도 안산시 상록구 이동 716-8 코로스프라자2층 207호,Y,,5550000-103-2010-00001,,3930000,"경기도 안산시 상록구 광덕1로 370, 2층 207호 (이동)",15495,01,영업/정상,단란주점,031-417-9727,,,
유흥업소밀집지역,,뻘라이브단란주점,단란주점,,187901.950208148,422168.549526209,2026-05-03 22:00:20,I,01,영업,79.1,,,,,,,,,2024-01-30 15:23:53,2010-07-08,79.10,426-815,경기도 안산시 상록구 본오동 873-1 상경빌딩2층 201호,Y,,5550000-103-2010-00002,,3930000,"경기도 안산시 상록구 용신로 382, 2층 201호 (본오동)",15537,01,영업/정상,단란주점,031-406-3020,,,상수도전용
,,삐삐노래광장 단란주점,단란주점,,186673.07319399,422914.3039439,2026-05-03 22:00:20,I,01,영업,102.99,,,,,,,,,2025-12-12 13:42:58,2010-09-13,102.99,426-863,경기도 안산시 상록구 이동 715-4 센타프라자 B02호,Y,,5550000-103-2010-00004,,3930000,"경기도 안산시 상록구 광덕1로 369, B02호 (이동)",15494,01,영업/정상,단란주점,031-417-6205,,,상수도전용
학교정화(상대),,스타7080,단란주점,,187969.424832753,422131.675460929,2026-05-03 22:00:21,I,01,영업,76.64,,,,1,기타,,,,2022-04-27 14:57:59,2012-03-08,76.64,426-815,경기도 안산시 상록구 본오동 873-9 덕암빌딩동 201호,Y,,5550000-103-2012-00001,,3930000,"경기도 안산시 상록구 본삼로 45, 덕암빌딩동 201호 (본오동)",15537,01,영업/정상,단란주점,031-437-7080,,,상수도전용
유흥업소밀집지역,,블루7080,단란주점,,187781.607816964,422247.184696796,2026-05-03 22:00:21,I,01,영업,99.97,,,,1,,,,,2023-10-17 13:33:12,2012-04-17,99.97,426-815,"경기도 안산시 상록구 본오동 877-8 209,216호",Y,,5550000-103-2012-00003,,3930000,"경기도 안산시 상록구 상록수로 28, 2층 209,216호 (본오동)",15532,01,영업/정상,단란주점,031-438-8253,,,상수도전용
기타,,힐링노래광장,단란주점,,186704.494286544,423011.941963369,2026-05-03 22:00:21,I,01,영업,109.94,,,,,,,,,2022-04-12 21:31:45,2012-08-23,109.94,426-863,경기도 안산시 상록구 이동 715-8 조강프라자 202호,Y,,5550000-103-2012-00005,,3930000,"경기도 안산시 상록구 양지편로 32, 2층 202호 (이동, 조강프라자)",15494,01,영업/정상,단란주점,,,,상수도전용
,,샵,단란주점,,186380.453675059,424996.83601283,2026-05-03 22:00:21,I,01,영업,98.4,,,,,,,,,2022-04-13 17:15:13,2013-01-25,98.40,426-837,경기도 안산시 상록구 성포동 593-17 성포타운 201호,Y,,5550000-103-2013-00001,,3930000,"경기도 안산시 상록구 예술광장로 49, 201호 (성포동, 성포타운)",15291,01,영업/정상,단란주점,031-475-0180,,,
,,한잔어때라이브7080,단란주점,,187935.467260334,422133.124850977,2026-05-03 22:00:21,I,01,영업,79.5,,,,,,,,,2022-10-13 16:59:21,2013-07-10,79.50,426-815,경기도 안산시 상록구 본오동 873-10 해동프라자 202~3호,Y,,5550000-103-2013-00004,,3930000,"경기도 안산시 상록구 본삼로 41, 2층 202,203호 (본오동, 해동프라자)",15537,01,영업/정상,단란주점,031-407-8802,,,
유흥업소밀집지역,,락7080,단란주점,,188007.702847991,422221.060146725,2026-05-03 22:00:21,I,01,영업,109.1,,,,1,자율,,,,2022-04-13 20:57:32,2013-07-19,109.10,426-815,경기도 안산시 상록구 본오동 874-9 상록수상가 205호,Y,1,5550000-103-2013-00005,,3930000,"경기도 안산시 상록구 용신로 389, 205호 (본오동, 상록수상가)",15532,01,영업/정상,단란주점,031-415-7707,,,상수도전용
유흥업소밀집지역,,제우스7080,단란주점,,186368.027937545,425222.843576654,2026-05-03 22:00:21,I,01,영업,94.72,,,,,기타,,,,2024-03-26 14:22:59,2014-04-18,94.72,426-853,경기도 안산시 상록구 월피동 445-27 풍전빌딩 202호,Y,,5550000-103-2014-00001,,3930000,"경기도 안산시 상록구 예술광장로 25, 2층 202호 (월피동, 풍전빌딩)",15288,01,영업/정상,단란주점,031-482-7080,,,상수도전용
유흥업소밀집지역,,파브노래광장,단란주점,,186380.453675059,424996.83601283,2026-05-03 22:00:21,I,01,영업,81.22,,,,1,기타,,,,2021-12-01 16:31:49,2014-08-01,81.22,426-837,경기도 안산시 상록구 성포동 593-17 성포타운 210호,Y,,5550000-103-2014-00002,,3930000,"경기도 안산시 상록구 예술광장로 49, 2층 210호 (성포동, 성포타운)",15291,01,영업/정상,단란주점,031-486-6142,,,상수도전용
