놀이기구수내역,건물용도명,사업장명,방송시설유무,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,발전시설유무,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,안내소유무,의무실유무,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,놀이시설수,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박총톤수
,,라운드 앤,,2018-10-30,198788.536133919,451930.151627442,,신고테마파크업,2026-05-06 23:02:58,I,,03,폐업,,,,,,,2018-11-22 09:14:32,,2017-05-18,,서울특별시 종로구 관철동 6-5,CDFI5272002017000001,3000000,1,,"서울특별시 종로구 종로14길 9, 3층 (관철동)",03190,03,폐업,,,,,,,
"표적맞추기 2대, 다이나믹시트1대, 영상모험관(스페이스텔라)1대, 미니시뮬레이션(탑발칸)1대",근린생활시설,EXTREME MAX ONE,,2020-10-08,198712.246685116,451930.87120377,,신고테마파크업,2026-05-06 23:02:58,I,,03,폐업,,57,57,3,,,2020-10-08 15:47:53,,2018-05-02,,서울특별시 종로구 관철동 14-7,CDFI5272002018000001,3000000,,일반상업지역,서울특별시 종로구 삼일대로19길 24 (관철동),03190,03,폐업,,,,,3,,
"펀치2, 에어하키1, 미니농구1, 건슈팅2, 뮤직댄스3, 자동차경주2, 음악게임1, 망치치기2, 팔씨름1",,콤콤오락실,,2023-12-28,199046.311928779,452308.031813856,,신고테마파크업,2026-05-06 23:02:59,I,,03,폐업,,80.03,80,,,,2023-12-29 12:22:26,,2020-05-26,,서울특별시 종로구 익선동 171-1,CDFI5272002020000001,3000000,,,"서울특별시 종로구 수표로28길 23-6, 1층 (익선동)",03133,03,폐업,,,,,,,
,,은평놀이랜드,,2012-05-11,192900.782483613,457444.185417139,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,,,,,,2012-05-14 10:01:24,,2011-07-18,122-809,서울특별시 은평구 갈현동 396-11 3층,CDFI5272002011000001,3110000,1,,서울특별시 은평구 통일로 855-4 (갈현동),,03,폐업,,,,,,,
,,타요키즈카페 은평뉴타운점,,2020-08-31,,,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,,,,,,2020-09-01 08:51:51,,2015-11-06,,서울특별시 은평구 진관동 100-6 2층,CDFI5272002015000001,3110000,,,"서울특별시 은평구 진관2로 12, 2층 (진관동, 메이플카운티2차)",03311,03,폐업,,,,02-352-2454,,,
,,키즈놀이터,,2020-03-30,193469.29043241,455478.989853719,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,,,,,,2020-03-30 18:42:21,,2015-11-30,,서울특별시 은평구 응암동 84-7 2층,CDFI5272002015000002,3110000,,,"서울특별시 은평구 은평로 173 (응암동, 2층)",03460,03,폐업,,,,070-8286-8200,,,
,,리틀채플린,,2017-09-22,192998.202204135,457479.99522553,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,,,,,,2017-09-22 17:30:15,,2017-02-28,,"서울특별시 은평구 불광동 311-13 6003호, 6005호",CDFI5272002017000001,3110000,,,"서울특별시 은평구 통일로 856, 6003,6005호 (불광동, 메트로타워)",03345,03,폐업,,,,02-353-6545,,,
,,우주팡팡,,2019-12-31,192747.460555813,455697.044769414,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,162.96,163,,,,2020-01-13 09:59:08,,2017-03-24,,서울특별시 은평구 역촌동 30-29 4층,CDFI5272002017000003,3110000,1,,"서울특별시 은평구 진흥로1길 34, 4층 (역촌동, 효성빌딩)",03405,03,폐업,,,,02-389-1931,,,
,,키즈정글인,,2020-08-28,193661.732383169,456379.193899276,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,56,56,,,,2020-09-01 08:51:40,,2017-07-10,,서울특별시 은평구 대조동 240 7층,CDFI5272002017000004,3110000,,,"서울특별시 은평구 불광로 20, 7층 (대조동, NC백화점)",03397,03,폐업,,,,,,,
,,플레이스케이프,,2022-03-31,192694.92374224,459461.236119623,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,,,,,,2022-03-31 17:10:16,,2017-11-29,,서울특별시 은평구 진관동 63 3층 롯데몰 은평점,CDFI5272002017000007,3110000,,,"서울특별시 은평구 통일로 1050, 3층 (진관동)",03306,03,폐업,,,,02-6975-5341,,,
,,자그마니,,2020-09-15,192026.412014375,455494.559012821,,신고테마파크업,2026-05-06 22:36:21,I,,03,폐업,,187.58,188,3,,,2020-09-15 17:45:30,,2018-04-18,,서울특별시 은평구 신사동 7-4,CDFI5272002018000001,3110000,,,"서울특별시 은평구 갈현로 44, 3층 302호 (신사동)",03422,03,폐업,,,,02-382-1008,,,
