사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
쥬얼리S,의류/패션/잡화/뷰티,2026-05-12,208135.50744518,448204.09170096,2026-05-15 03:03:03,U,03,폐업처리,2026-05-14 13:13:12,,2013-06-21,,서울특별시 광진구 구의동 ***번지 **호 구의아크로리버 A동 ***호,2013304016830200429,인터넷,3040000,"서울특별시 광진구 구의강변로 **, A동 ***호 (구의동, 구의아크로리버)",,,03,폐업,,,070-7795-4247
홍운유통,종합몰 가전 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티 자동차/자동차용품,2026-05-14,191881.113325815,438922.139406731,2026-05-15 03:03:03,U,03,폐업처리,2026-05-14 21:48:51,,2022-01-25,,서울특별시 금천구 시흥동 ***-*,2022317023530200205,인터넷,3170000,서울특별시 금천구 금하로**다길 *(시흥동),08574,,03,폐업,,,
와이제이,종합몰 기타,,189417.708595762,442309.174987731,2026-05-15 03:03:03,U,01,정상영업,2026-05-14 22:16:39,,2022-06-21,,서울특별시 금천구 가산동 ***-* 에이스테크노타워**차,2022317023530201292,인터넷,3170000,"서울특별시 금천구 가산디지털*로 ***, 에이스테크노타워**차 ***호 (가산동)",08502,,01,영업/정상,,,
김만덕 상회,종합몰,2026-05-14,179849.580666893,461692.59774274,2026-05-15 03:03:03,U,03,폐업처리,2026-05-14 09:43:36,,2024-03-27,,경기도 고양시 일산동구 장항동 ***-* 파크프라자,2024396012830200668,인터넷,3940000,"경기도 고양시 일산동구 정발산로 **-**, 파크프라자 *층 ***호 (장항동)",10402,,03,폐업,,,
맵소프트,종합몰,,197972.744101082,441874.187141803,2026-05-15 03:03:03,U,01,정상영업,2026-05-14 14:49:56,,2006-05-04,,서울특별시 동작구 사당동 ****-**,2006319009930201310,인터넷,3190000,서울특별시 동작구 사당로**길 *** (사당동),07016,,01,영업/정상,,,02-584-8670
트랜딕스,종합몰 가전 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티,,166214.893825482,460298.273733436,2026-05-15 03:03:03,U,01,정상영업,2026-05-14 11:27:59,,2025-11-12,,경기도 김포시 구래동 ****-*,2025409051630209366,인터넷,4090000,"경기도 김포시 김포한강**로***번길 ***, ***-AJ**호 (구래동)",10071,,01,영업/정상,,,
강자매샵,의류/패션/잡화/뷰티,,180292.667338205,474384.556476097,2026-05-15 03:03:03,U,01,정상영업,2026-05-14 16:05:33,,2018-04-04,,경기도 파주시 아동동 ***-** 팜스프링아파트,2018406034230200213,인터넷,4060000,"경기도 파주시 송화로 **, 지하*층 ***호(팜스프링) (아동동)",10851,,01,영업/정상,,,
주식회사 라프텔,의류/패션/잡화/뷰티,,205014.436191811,448961.208329966,2026-05-15 03:03:03,U,01,정상영업,2026-05-14 09:08:55,,2022-08-12,,서울특별시 성동구 성수동*가 ***-** 우리큐브,2022303010330201627,"TV홈쇼핑, 인터넷, 기타",3030000,"서울특별시 성동구 연무장**길 **, 우리큐브 ***호 (성수동*가)",04783,,01,영업/정상,,,
제이케이소프트,종합몰 기타,2026-05-14,210273.098117288,459131.618978126,2026-05-15 03:03:03,U,05,타시군구이관,2026-05-14 15:20:17,,2023-09-06,,경기도 구리시 갈매동 *** 갈매역아이파크,2023398012930200907,인터넷,3980000,"경기도 구리시 경춘북로 ***, ***동 ****호 (갈매동, 갈매역아이파크)",11901,,05,제외/삭제/전출,,,
하늘뜰무역 유한회사,종합몰,,189208.487613747,442298.784420302,2026-05-15 03:03:03,U,01,정상영업,2026-05-14 22:02:15,,2025-11-29,,서울특별시 금천구 가산동 ***-*,2025317025730202233,인터넷,3170000,"서울특별시 금천구 가산디지털*로 ***-**, 제**층 제오****-***호 (가산동)",08503,,01,영업/정상,,,
